cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
0,HLA-DRA,41.72209,5.0121245,0.0,0.0,0.9970631424375918,0.5095385980479148
0,CD74,41.07939,4.2705655,0.0,0.0,1.0,0.6447057083703046
0,HLA-DPB1,40.925022,4.8942156,0.0,0.0,0.9853157121879589,0.3897885241052943
0,MS4A6A,40.740242,5.1314855,0.0,0.0,0.9838472834067548,0.11793847973972198
0,HLA-DPA1,40.583282,4.678961,0.0,0.0,0.9926578560939795,0.44849896480331264
0,HLA-DQB1,40.361572,4.467773,0.0,0.0,0.9882525697503671,0.30201863354037267
0,GPR183,40.10936,5.1018624,0.0,0.0,0.9691629955947136,0.1492162082224194
0,HLA-DRB1,39.663265,4.288593,0.0,0.0,0.9926578560939795,0.5392635314995563
0,HLA-DMA,38.23938,3.6648803,0.0,0.0,0.9750367107195301,0.29236912156166817
0,C1QA,38.162624,5.764346,0.0,0.0,0.9353891336270191,0.12304052055604851
0,HLA-DMB,38.039673,4.178829,0.0,0.0,0.9412628487518355,0.14137829044661343
0,HLA-DQA1,38.004654,5.127834,0.0,0.0,0.9236417033773862,0.14747855664004733
0,FCGR2A,37.719215,4.3529515,0.0,0.0,0.9427312775330396,0.13209849157054127
0,RGS1,37.650608,5.0749,3.1974949812355e-310,5.641523109392703e-307,0.9280469897209985,0.16071428571428573
0,C1QC,37.418205,5.6186137,1.9766147586986186e-306,3.254957410307639e-303,0.8942731277533039,0.08185448092280391
0,AIF1,37.305214,4.609324,1.3509136519833193e-304,2.0855573823524983e-301,0.9941262848751835,0.17254510499852116
0,C1QB,37.263844,5.670818,6.3238209176742715e-304,9.188511793380718e-301,0.9118942731277533,0.11191215616681455
0,CLEC7A,37.23777,4.07739,1.6715221580429152e-303,2.2937927125454473e-300,0.9515418502202643,0.13468648328896776
0,CAPG,37.076855,3.761441,6.632682544199809e-301,8.62283639601471e-298,0.9544787077826725,0.25088731144631765
0,RGS10,37.01566,3.6764653,6.411908801860903e-300,7.919027965738309e-297,0.9574155653450808,0.20874001774622894
1,COTL1,38.58177,4.6045184,0.0,0.0,0.9932998324958124,0.30628040689960195
1,LYZ,37.58317,6.0332475,4.04871588979527e-309,5.00036655969165e-305,0.9916247906197655,0.20676691729323307
1,AIF1,36.97861,5.097767,2.5274308484138464e-299,2.081002312889014e-295,0.9882747068676717,0.17521745540321393
1,CTSS,36.53761,4.1956058,2.8052840752057585e-292,1.4214120045975323e-288,0.9899497487437185,0.3951422674332891
1,SH3BGRL3,36.53692,3.1674104,2.877235748750116e-292,1.4214120045975323e-288,0.998324958123953,0.7474568774878373
1,OAZ1,35.860886,2.3176746,1.2443965493037509e-281,5.1229731940586584e-278,0.9932998324958124,0.8072755417956656
1,THBS1,35.831295,4.8938537,3.597377288247445e-281,1.2694116628142878e-277,0.9564489112227805,0.2718561108653988
1,FCER1G,35.81074,4.3945613,7.51527321471943e-281,2.320434545959808e-277,0.9916247906197655,0.2569290874244435
1,FCN1,35.737526,5.3129697,1.0336862159171676e-279,2.837009246596662e-276,0.9179229480737019,0.08215391419725786
1,S100A4,35.623215,3.5312288,6.124942748309773e-278,1.512922108259997e-274,0.998324958123953,0.693609022556391
1,FTL,35.41424,3.1517434,1.0308447022464588e-274,2.3148086354717982e-271,1.0,0.9526389503169689
1,TYROBP,35.2362,4.3445663,5.5821792697485667e-272,1.1490450845171612e-268,0.9849246231155779,0.27285124576146247
1,FTH1,35.094887,2.5275114,8.06654001110231e-270,1.532704652417217e-266,1.0,0.9645068553737285
1,C1orf162,35.031784,4.190884,7.386309826103609e-269,1.3032088501041804e-265,0.9430485762144054,0.19069733156420463
1,LST1,34.345905,4.442382,1.621349497092719e-258,2.669930261845817e-255,0.9279731993299832,0.16353383458646617
1,S100A9,33.8774,5.0727296,1.4338614134260255e-251,2.213613173314766e-248,0.9765494137353434,0.3784829721362229
1,LAPTM5,33.209957,3.5687754,7.732290861412387e-242,1.1235018621632198e-238,0.9748743718592965,0.3403729913017839
1,VCAN,32.845222,4.5500364,1.3327211780229396e-236,1.8288636565747017e-233,0.8844221105527639,0.16909921863482236
1,TYMP,32.633266,3.2131684,1.3843178331875255e-233,1.799686041977109e-230,0.948073701842546,0.4397390535161433
1,C5AR1,32.407166,3.9621675,2.175422045953429e-230,2.6867549978547825e-227,0.914572864321608,0.18527937490785787
10,CLDN5,39.805244,6.916586,0.0,0.0,0.9947916666666666,0.22649431002099216
10,IFI27,37.58791,5.73875,3.387854674862894e-309,4.184169916189418e-305,0.9826388888888888,0.3273671417522926
10,HPGD,36.953255,6.690265,6.45715785668568e-299,5.316608540599766e-295,0.9270833333333334,0.13663315287445219
10,B2M,36.93575,2.6607025,1.2334508054176193e-298,7.6168670861551535e-295,0.9965277777777778,0.9862261996832763
10,HLA-B,36.88075,3.191872,9.405995042287627e-298,4.6467496707909334e-294,0.9913194444444444,0.8927558649136376
10,HLA-C,36.65396,3.1990767,3.95720562159073e-294,1.629115600981877e-290,0.9809027777777778,0.855522410046772
10,IL1RL1,36.253204,7.9581623,8.846893381202111e-288,3.1218159058439054e-284,0.8923611111111112,0.05852023717452952
10,IFITM3,36.043213,3.7836823,1.761832226754753e-284,5.4398772291336445e-281,0.9895833333333334,0.6625050638971752
10,HLA-E,34.496677,3.129841,8.996236828836975e-261,2.4690671767678016e-257,0.9600694444444444,0.8301476816558023
10,HLA-A,34.475773,2.8235736,1.8509823958187934e-260,4.572111615912002e-257,0.9704861111111112,0.8722424778109232
10,HLA-DRB1,33.698177,4.012193,6.147350266926027e-249,1.3804154449394526e-245,0.9392361111111112,0.5421500386697602
10,CD74,33.508083,3.662088,3.6752673460758917e-246,7.565231559618383e-243,0.9670138888888888,0.6467793613965308
10,ITM2B,31.983486,2.3870115,1.8503846111012568e-224,3.5158730983701654e-221,0.9392361111111112,0.860973004824513
10,EDNRB,31.705751,6.7825975,1.2944673446729965e-220,2.2839027057691206e-217,0.7951388888888888,0.0797333627960078
10,HLA-DRB5,30.97773,4.970034,1.075612830557162e-210,1.7712475018394974e-207,0.8263888888888888,0.17662873347328104
10,AQP1,30.735254,4.7518015,1.925000535494855e-207,2.9718398892036507e-204,0.8472222222222222,0.22266416233933636
10,HLA-DPA1,30.280254,3.697588,2.0861795401207674e-201,3.0312188717954753e-198,0.8854166666666666,0.4528781350127058
10,HYAL2,30.032368,4.689929,3.710253276691582e-198,5.091498121531043e-195,0.8350694444444444,0.25021176297278386
10,TMEM100,30.008095,4.8578315,7.695090386450004e-198,1.0004022507142188e-194,0.8315972222222222,0.16112400103119362
10,CAVIN2,29.875841,3.857771,4.054386634406531e-196,5.007370212823787e-193,0.8489583333333334,0.38750782602290723
