cluster,genes
0,"HLA-DRA, CD74, HLA-DPB1"
1,"COTL1, LYZ, AIF1"
2,"IFI30, FTL, CD163"
3,"IFI27, CLDN5, FCN3"
4,"CCL5, CD3D, IL32"
5,"ZFP36L2, IL7R, CXCR4"
6,"NKG7, GNLY, CD247"
7,"DCN, A2M, LUM"
8,"RARRES2, C7, FN1"
9,"COL6A3, COL1A2, C1R"
10,"HPGD, B2M, HLA-B"
11,"NAPSA, SFTPC, SFTPA1"
12,"S100A2, KRT17, KRT15"
13,"S100A9, S100A8, NAMPT"
14,"TMSB4X, FTH1, C1QA"
15,"SLPI, SCGB3A2, SCGB3A1"
16,"LCN2, BPIFB1, WFDC2"
17,"SFTPB, CYB5A, KLK11"
18,"RETN, ACTB, TSPO"
19,"CD37, CD79A, MS4A1"
20,"STMN1, PCLAF, TYMS"
21,"PTPRB, EPAS1, TFPI"
22,"TPSB2, TPSAB1, CPA3"
23,"CCL21, IGFBP7, MMRN1"
24,"ACKR1, ACTG1, TMSB10"
25,"VWF, LIFR, NUAK1"
26,"DNAAF1, LRRIQ1, TPPP3"
27,"CAPS, GSTA1, TSPAN1"
28,"AGER, EMP2, HOPX"
29,"CALD1, TPM2, MYL9"
30,"C20orf85, GSTP1, C9orf24"
31,"TAGLN, ACTA2, DES"
32,"CTSS, CYBB, FCN1"
33,"FABP5, LIPA, SH3BGRL3"
34,"CALCRL, SLC6A4, TMEM100"
35,"SCGN, SCG2, BEX1"
36,"NCOA7, ELF3, SOX4"
37,"HLA-E, EMCN, AQP1"
38,"FBLN1, CFH, APOD"
39,"GPRC5A, PIGR, MUC1"
40,"IGFBP2, PERP, ERRFI1"
