subcluster,n_cells,n_labelled,top_label,purity,label_entropy,entropy_flag,n_animals,max_round_fraction,dominant_round,pct_cells_from_6dpi
0,530,530,iMON,0.891,0.406,low,7,0.766,2022-07-06,90.8
1,608,608,iMON,0.845,0.554,low,16,0.706,2022-07-06,3.9
2,1165,1165,aMAC,0.997,0.023,low,13,0.772,2022-07-06,0.0
3,1077,1077,aMAC,0.997,0.019,low,16,0.809,2022-07-06,2.0
4,757,757,Neutrophil,1.0,-0.0,low,16,0.544,2022-07-06,12.9
5,497,496,pMON,0.893,0.387,low,16,0.746,2022-07-06,6.8
6,511,511,cMON,0.961,0.199,low,16,0.746,2022-07-06,1.8
7,326,326,cDC2,0.638,1.075,HIGH,16,0.755,2022-07-06,18.7
8,276,276,aMAC,0.627,0.803,HIGH,16,0.815,2022-07-06,6.5
9,513,513,iMAC,0.926,0.363,low,16,0.723,2022-07-06,1.0
10,198,198,cDC1,0.98,0.127,low,16,0.697,2022-07-06,3.0
11,93,86,aMAC,0.233,1.859,HIGH,15,0.72,2022-07-06,1.1
12,119,118,aMAC,0.237,1.942,HIGH,15,0.773,2022-07-06,4.2
13,49,49,cDC2,0.98,0.1,low,14,0.735,2022-07-06,22.4
