subcluster,n_cells,n_labelled,top_label,purity,label_entropy,entropy_flag,n_animals,max_animal_fraction,dominant_animal
0,543,543,iMON,0.855,0.599,HIGH,7,0.733,EEM-scRNA-162
1,967,967,cMON,0.967,0.181,low,25,0.243,EEM-scRNA-166
2,417,417,cDC2,0.811,0.742,HIGH,25,0.106,EEM-scRNA-158
3,722,722,iMON,0.799,0.67,HIGH,25,0.384,EEM-scRNA-167
4,440,439,aMAC,0.991,0.061,low,22,0.205,EEM-scRNA-239
5,869,869,aMAC,1.0,-0.0,low,24,0.173,EEM-scRNA-180
6,721,721,iMAC,0.953,0.213,low,25,0.105,EEM-scRNA-180
7,1166,1166,aMAC,0.998,0.013,low,22,0.175,EEM-scRNA-179
8,229,229,aMAC,0.996,0.028,low,24,0.135,EEM-scRNA-179
9,256,256,aMAC,0.973,0.125,low,24,0.125,EEM-scRNA-179
10,983,983,Neutrophil,1.0,-0.0,low,25,0.076,EEM-scRNA-239
11,100,100,Neutrophil,1.0,-0.0,low,8,0.52,EEM-scRNA-162
12,730,729,pMON,0.982,0.102,low,25,0.121,EEM-scRNA-170
13,337,337,aMAC,0.585,0.774,HIGH,25,0.125,EEM-scRNA-167
14,498,498,aMAC,0.996,0.026,low,24,0.181,EEM-scRNA-170
15,58,58,aMAC,0.379,1.772,HIGH,18,0.172,EEM-scRNA-239
16,319,319,cDC1,0.966,0.193,low,25,0.088,EEM-scRNA-239
17,95,95,maDC,0.937,0.276,low,24,0.179,EEM-scRNA-162
18,171,163,aMAC,0.215,1.955,HIGH,24,0.123,EEM-scRNA-170
19,214,211,aMAC,0.294,1.937,HIGH,24,0.098,EEM-scRNA-182
20,82,82,cDC2,0.988,0.066,low,22,0.134,EEM-scRNA-162
21,80,80,Neutrophil,1.0,-0.0,low,21,0.2,EEM-scRNA-170
