sub_r1.0,Neutrophil,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,0,0,8,17,43,6,464,5,0
1,4,0,0,1,935,0,11,0,16
10,983,0,0,0,0,0,0,0,0
11,100,0,0,0,0,0,0,0,0
12,2,0,0,1,10,0,0,0,716
13,0,197,134,3,1,1,1,0,0
14,0,496,0,0,0,0,2,0,0
15,5,22,8,1,2,12,4,1,3
16,1,2,308,3,0,0,0,5,0
17,0,0,2,4,0,0,0,89,0
18,33,35,19,28,8,6,10,1,23
19,19,62,26,10,21,33,14,0,26
2,0,1,19,338,14,2,38,4,1
20,1,0,0,81,0,0,0,0,0
21,80,0,0,0,0,0,0,0,0
3,2,57,0,1,2,83,577,0,0
4,0,435,1,0,0,2,1,0,0
5,0,869,0,0,0,0,0,0,0
6,1,0,2,0,1,687,30,0,0
7,0,1164,0,0,0,0,2,0,0
8,0,228,0,0,0,0,1,0,0
9,0,249,0,0,0,0,7,0,0
