sample,min_genes,max_genes,min_counts,max_counts,max_pct_mt,max_pct_top20,n_mads_counts,n_mads_genes,n_mads_mt,rationale
EEM-scRNA-113,200,44100,500,270986,9.8968,73.9597,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,270986]; log1p(genes) median+/-5.0MAD -> [200,44100] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=9.90 bracketed to [5.0,20.0] -> 9.90; pct_top20 median+5MAD -> 73.96"
EEM-scRNA-116,233,32724,500,437882,6.8704,41.9701,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,437882]; log1p(genes) median+/-5.0MAD -> [233,32724] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=6.87 bracketed to [5.0,20.0] -> 6.87; pct_top20 median+5MAD -> 41.97"
EEM-scRNA-117,414,19840,500,196174,6.7388,51.111,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,196174]; log1p(genes) median+/-5.0MAD -> [414,19840] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=6.74 bracketed to [5.0,20.0] -> 6.74; pct_top20 median+5MAD -> 51.11"
EEM-scRNA-118,200,54657,500,594361,9.1391,58.5741,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,594361]; log1p(genes) median+/-5.0MAD -> [200,54657] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=9.14 bracketed to [5.0,20.0] -> 9.14; pct_top20 median+5MAD -> 58.57"
EEM-scRNA-124,200,90747,500,568214,18.0225,100.0,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,568214]; log1p(genes) median+/-5.0MAD -> [200,90747] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=18.02 bracketed to [5.0,20.0] -> 18.02; pct_top20 median+5MAD -> 100.00"
EEM-scRNA-125,208,19107,500,137787,8.2726,63.7608,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,137787]; log1p(genes) median+/-5.0MAD -> [208,19107] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=8.27 bracketed to [5.0,20.0] -> 8.27; pct_top20 median+5MAD -> 63.76"
EEM-scRNA-126,200,24186,500,191490,9.8468,64.6195,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,191490]; log1p(genes) median+/-5.0MAD -> [200,24186] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=9.85 bracketed to [5.0,20.0] -> 9.85; pct_top20 median+5MAD -> 64.62"
EEM-scRNA-127,200,27783,500,201647,11.978,77.211,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,201647]; log1p(genes) median+/-5.0MAD -> [200,27783] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=11.98 bracketed to [5.0,20.0] -> 11.98; pct_top20 median+5MAD -> 77.21"
EEM-scRNA-158,200,37603,500,334940,8.2745,80.1103,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,334940]; log1p(genes) median+/-5.0MAD -> [200,37603] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=8.27 bracketed to [5.0,20.0] -> 8.27; pct_top20 median+5MAD -> 80.11"
EEM-scRNA-162,200,31261,500,173228,6.3082,47.1898,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,173228]; log1p(genes) median+/-5.0MAD -> [200,31261] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=6.31 bracketed to [5.0,20.0] -> 6.31; pct_top20 median+5MAD -> 47.19"
