group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,Iigp1,81.59917,4.269538,0.0,0.0,0.9745735436112005,0.560295140614131
0,Isg15,76.20425,4.3318405,0.0,0.0,0.8937882201480528,0.3538706151247143
0,Gbp4,72.86518,3.372501,0.0,0.0,0.9063405214032829,0.4573685779588592
0,Igtp,72.143555,3.4672227,0.0,0.0,0.8860637270679111,0.41540793004074333
0,Ifit3,72.02715,5.378408,0.0,0.0,0.815577727711619,0.13080095398986386
0,H2-Q4,71.21313,1.8857993,0.0,0.0,0.9562278725458642,0.8489267614031601
0,Gm12250,70.67493,3.584321,0.0,0.0,0.8702928870292888,0.36442909669084766
0,Gbp7,70.07977,2.7406318,0.0,0.0,0.9105246218216929,0.6222547947928053
0,Xdh,69.59834,2.6103895,0.0,0.0,0.9056968136466045,0.6459803239590579
0,Ifitm3,65.83754,1.5465108,0.0,0.0,0.9816543289346636,0.952424724237305
0,Ifit1,65.48045,4.66891,0.0,0.0,0.7660122304473769,0.15616615323462188
0,Samhd1,64.81551,3.2424004,0.0,0.0,0.8261989056968136,0.4231590976845871
0,Irgm1,63.61948,3.0456376,0.0,0.0,0.8175088509816544,0.3748136738547153
0,H2-T23,62.72296,1.8131928,0.0,0.0,0.9224332153202446,0.8662675146576567
0,Ifi47,62.468933,2.7702346,0.0,0.0,0.8290955906018668,0.47339262645334396
0,Gbp2,61.017406,3.1383517,0.0,0.0,0.8120373350498874,0.44261154725231044
0,Tap1,60.94319,2.5965426,0.0,0.0,0.8216929514000644,0.47980224585113784
0,Ly6c1,60.9236,1.8303161,0.0,0.0,0.9497907949790795,0.9349597535526185
0,H2-T22,60.84274,2.4803627,0.0,0.0,0.8313485677502414,0.5402961343535725
0,Ly6a,60.828182,1.5559176,0.0,0.0,0.9662053427743804,0.977143992845076
1,Emp2,99.68672,6.09595,0.0,0.0,0.9892557651991615,0.3238499860910907
1,Car4,94.69584,4.85833,0.0,0.0,0.9630503144654088,0.3695723642616898
1,Igfbp7,93.895,4.764607,0.0,0.0,0.9753668763102725,0.4990516652757757
1,Ednrb,90.21614,6.531861,0.0,0.0,0.8985849056603774,0.08724679462863212
1,Kitl,87.02786,3.0292487,0.0,0.0,0.9483752620545073,0.6880863869711453
1,Pmp22,86.7759,3.4611163,0.0,0.0,0.9261006289308176,0.53647927572516
1,Kdr,85.83841,2.9112883,0.0,0.0,0.9418238993710691,0.734820322180917
1,AW112010,82.85351,4.456816,0.0,0.0,0.8883647798742138,0.2395619958020383
1,Tbx2,79.77472,4.7693057,0.0,0.0,0.8288784067085954,0.13673722277014896
1,Cyp4b1,79.09876,2.5496848,0.0,0.0,0.9373689727463312,0.7079129049389272
1,Septin4,76.47422,3.017898,0.0,0.0,0.8802410901467506,0.4693624661760615
1,Nrp1,75.72863,1.8880229,0.0,0.0,0.939203354297694,0.8539564524694636
1,Selenop,75.16586,1.8159966,0.0,0.0,0.9551886792452831,0.856485345067395
1,Icam2,72.71922,1.5937594,0.0,0.0,0.9515199161425576,0.9103254684773537
1,Nhlrc2,72.24924,2.8675497,0.0,0.0,0.8524633123689728,0.4379030422577953
1,App,72.07607,1.4494219,0.0,0.0,0.949685534591195,0.884707786460309
1,Tbx3,70.32789,2.1584957,0.0,0.0,0.8881027253668763,0.6591811445767898
1,Tspan13,70.23815,1.4340452,0.0,0.0,0.9454926624737946,0.8894115266924614
1,Ptp4a3,70.18006,2.9433832,0.0,0.0,0.8372641509433962,0.3871481678173128
1,Fibin,69.55962,6.5137715,0.0,0.0,0.6975890985324947,0.037933388968970486
2,Cd34,46.587193,2.232544,0.0,0.0,0.9613022113022113,0.6138601998514294
2,Igfbp7,45.959385,2.8021154,0.0,0.0,0.9723587223587223,0.524142723634708
2,AW112010,43.455128,2.941277,0.0,0.0,0.8409090909090909,0.27543073494524456
2,Car4,43.218216,2.6107059,0.0,0.0,0.9084766584766585,0.4028180489324483
2,Ptp4a3,40.34823,2.344951,0.0,0.0,0.8396805896805897,0.41065395030073565
2,Emcn,39.717003,1.8716744,0.0,0.0,0.9404176904176904,0.666698617334835
2,Clic5,38.91234,1.2007569,0.0,0.0,0.9785012285012284,0.8922623469363303
2,Krt80,38.202904,1.9292884,0.0,0.0,0.8562653562653563,0.5341113321032326
2,Clu,36.812416,2.0715165,1.1685604924742296e-296,2.510691170097298e-293,0.835995085995086,0.44460952289664757
2,Timp3,36.156193,1.8171719,2.9738285115963e-286,5.637679133630916e-283,0.933046683046683,0.7264623421437301
2,Kitl,36.08227,1.5965855,4.302360846705463e-285,7.703138075979093e-282,0.9355036855036855,0.7022357480050802
2,Emp2,35.4955,2.2173202,5.767439665586601e-276,9.293652277126248e-273,0.847051597051597,0.36428554312142053
2,App,35.358643,1.0270889,7.384057146577455e-274,1.13320663676142e-270,0.9742014742014742,0.8871582276964367
2,Serpine1,34.62391,2.6697807,1.1035672101548289e-262,1.616625638584992e-259,0.6713759213759214,0.2051951786441734
2,Mgll,34.558613,2.1177588,1.0581677129067615e-261,1.4827230022417005e-258,0.7764127764127764,0.38055642088615177
2,Kdr,34.37674,1.4457263,5.614744831100536e-259,7.539666517362836e-256,0.9447174447174447,0.7455608540413602
2,Aldoa,33.477654,1.3750182,1.0192982861467889e-245,1.2634594294591811e-242,0.8783783783783784,0.7005823009273682
2,Tbx2,33.399155,2.463315,1.4102989042210138e-244,1.683374558712401e-241,0.6590909090909091,0.1796506194435791
2,Bnip3,32.80391,2.6375573,5.179085322955658e-236,5.755571096145343e-233,0.6332923832923832,0.22170568642016728
2,Ankrd37,32.696293,2.5369618,1.7632552183566623e-234,1.8942063059066172e-231,0.6498771498771498,0.2398217152716206
3,Tmem100,54.462738,0.9839851,0.0,0.0,0.972779552715655,0.892131479709574
3,Hpgd,49.08162,1.1668187,0.0,0.0,0.9706070287539936,0.8696178308099285
