Cluster,n_cells,Proposed identity,Runner-up,Panel score,Runner-up score,DE corroboration,Supporting markers,Conflicting markers,Top data-derived genes,Confidence,Notes,Deposited label (dominant),Deposited label %,Annotated cells,Deposition check
0,4130,Transitional (candidate),DC,0.944,0.915,0.25,Cdkn1a,"H2-Ab1, Cd74, Pecam1, Cdh5, Cldn5","Iigp1, Gbp4, Gm12250, Igtp, H2-Q4, Ly6a, Isg15, Ly6c1, Gbp7, Xdh",Low,co-expresses markers of more than one lineage - check for doublets,CAP1,89.2,3518,DISAGREES - treat the proposal as unreliable
1,31808,Endothelial (candidate),Endothelial_cap,3.275,1.824,0.75,"Pecam1, Cdh5, Kdr, Emcn, Cldn5",,"Cd93, Hpgd, Epas1, Tmem100, Ptprb, Tspan7, Calcrl, Bmpr2, Sema3c, Clec14a",High,,CAP1,97.8,23986,agrees (same lineage)
2,1047,Proliferating (candidate),Fibro_activated,7.66,0.981,1.0,"Mki67, Top2a, Ccnb1",,"Hmgb2, H2az1, Mki67, Stmn1, Birc5, Top2a, Cks2, Cenpf, Prc1, Smc4",High,,AF1,51.9,129,"not comparable (state, not lineage)"
3,14467,Endothelial (candidate),Endothelial_cap,4.149,1.74,1.0,"Pecam1, Cdh5, Kdr, Emcn, Cldn5",,"Cxcl12, Emcn, Col4a1, Ntrk2, Pecam1, Cav1, Cyyr1, Cdk19, H2-Q7, Ace",High,,CAP1,99.0,11301,agrees (same lineage)
4,5728,Endothelial (candidate),Club,2.225,1.213,0.75,"Pecam1, Cdh5, Cldn5",,"Scgb1a1, Sftpc, Rn18s, Epas1, Ptprb, Egfl7, Hpgd, Ctla2a, Calcrl, Adgrf5",High,,CAP1,97.6,2449,agrees (same lineage)
5,6462,Mono_Mac (candidate),Pan_immune,5.129,4.372,0.75,"Lyz2, Cd68, Csf1r, Adgre1, Itgam, C1qa",Ptprc,"Tyrobp, Ctss, Fcer1g, Laptm5, Cd52, Coro1a, Ptprc, Psap, Gpx1, Spi1",High,co-expresses markers of more than one lineage - check for doublets,cMON,21.9,4737,agrees (same lineage)
6,3301,B_cell (candidate),Pan_immune,7.528,4.105,1.25,"Cd79a, Cd79b, Ms4a1, Cd37, Cd74",,"Cd79a, Igkc, Cd74, Cd79b, Fau, Ebf1, Ly6d, Cd52, H2-Aa, H2-Eb1",High,,B_lymphocyte,94.7,2475,agrees (same lineage)
7,2038,Endothelial_cap (candidate),Endothelial,2.998,2.886,0.5,"Car4, Ednrb, Gpihbp1, Aplnr","Pecam1, Cdh5, Kdr, Emcn, Cldn5","Kdr, Pitpnc1, Jcad, Tspan13, Rasgrp3, Arap2, Ybx1, Casz1, Sema3c, Itga1",Moderate,co-expresses markers of more than one lineage - check for doublets,CAP1,65.2,462,agrees (same lineage)
8,1584,Endothelial (candidate),Fibro_activated,1.606,0.638,0.25,"Pecam1, Cdh5, Cldn5",,"Vwf, Tm4sf1, Adgrg6, Plat, Efnb2, Plac8, Utrn, Gja5, Atp13a3, Gata6",Moderate,,Arterial_endothelium,92.7,1194,agrees (same lineage)
9,3705,Endothelial (candidate),Fibro_activated,1.931,1.476,0.25,"Pecam1, Cdh5, Kdr, Emcn, Cldn5",,"Vwf, Prss23, Samd5, Lyve1, Slc6a2, Csrp2, Vegfc, Amigo2, Cd200, Aqp1",Moderate,,Venous_endothelium,94.1,2879,agrees (same lineage)
10,5763,AT2 (candidate),Pan_epithelial,7.756,3.258,1.5,"Sftpc, Sftpb, Abca3, Lamp3, Slc34a2, Cxcl15",,"Sftpd, Sftpb, Sftpa1, Cxcl15, Wfdc2, Atp1b1, Scd1, Npc2, Slc34a2, Muc1",High,,AT2,79.7,4109,agrees
11,16,AT2 (candidate),Fibroblast,5.084,4.513,1.0,"Sftpc, Sftpb, Abca3, Lamp3, Slc34a2, Cxcl15","Col1a1, Col1a2, Dcn, Col3a1","S100g, Sftpc, Cxcl15, Sftpa1, Sftpb, Chil3, Sftpd, Ear2, Slc34a2, Chil1",High,co-expresses markers of more than one lineage - check for doublets,Adventitial_fibroblast,100.0,1,too few annotated cells to judge
12,6357,Fibroblast (candidate),Club,2.296,0.883,0.75,Pdgfra,,"Mgp, Inmt, Gpx3, Bgn, Mfap4, Fth1, Fmo2, Plac9a, Gsn, Apoe",Low,,AF1,92.8,1283,agrees (same lineage)
13,5543,T_cell (candidate),CD8_T,7.62,5.179,1.0,"Cd3d, Cd3e, Cd3g, Trbc2",,"Ptprc, Cd52, Rac2, Fau, Ms4a4b, Trbc2, Arhgdib, Coro1a, Tpt1, Cd3g",High,,T_lymphocyte,87.7,3636,agrees (same lineage)
14,24886,Fibroblast (candidate),Fibro_activated,4.409,0.656,1.0,"Col1a1, Col1a2, Pdgfra, Col3a1",,"Limch1, Npnt, Plxdc2, Colec12, Spon1, Sod3, Gsn, Fhl1, Prelp, Cdh11",High,,AF1,95.7,19217,agrees (same lineage)
