experimental_group,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
H1N1_homeostasis_d03,29,1632,57,0,8,174,790,265,145,149,37,0,1,45,271,301,0,61,69,30,0,0,49,53,363,203,15,82,131
H1N1_homeostasis_d42,23,1140,296,0,69,194,780,186,120,185,39,17,3,26,251,204,0,77,28,50,0,0,50,378,249,198,17,54,102
H1N1_tam02_sac06,3042,198,323,0,730,228,420,174,38,26,93,3,11,93,77,430,1,99,55,32,0,0,49,77,650,170,7,95,128
H1N1_tam02_sac42,19,1686,162,0,132,163,1593,308,99,449,62,67,2,132,437,174,0,85,44,61,0,0,1570,249,335,126,34,57,183
H1N1_tam02_sac90,26,631,151,0,13,122,691,114,78,64,41,94,4,26,114,135,0,10,17,48,0,0,595,113,144,64,26,31,68
H1N1_tam07_sac11,186,1463,349,0,67,504,1450,474,151,149,95,6,77,161,385,283,0,142,140,100,0,1,1264,72,634,174,39,146,198
H1N1_tam07_sac42,7,2643,216,0,14,179,1949,278,120,483,56,70,1,136,380,197,0,105,81,30,0,0,1051,196,314,146,41,91,194
H1N1_tam07_sac90,4,744,107,0,15,158,1397,573,46,178,42,139,0,78,147,125,0,43,97,64,0,0,974,42,201,67,16,45,140
H1N1_tam14_sac19,30,1815,331,1,8,308,1575,509,150,464,122,57,16,179,354,252,0,117,88,73,0,1,1088,35,363,154,45,107,208
H1N1_tam14_sac366,6,2038,524,0,43,200,1160,285,218,235,226,152,2,132,295,259,0,52,38,53,0,0,686,275,188,143,42,84,323
H1N1_tam14_sac42,54,2869,255,0,32,372,1676,359,82,377,52,386,1,97,623,168,1,98,97,27,0,0,489,137,304,283,21,62,212
H1N1_tam14_sac90,6,1294,259,0,47,63,720,135,125,130,33,62,0,87,216,151,1,34,25,50,0,0,228,240,115,42,15,55,217
H1N1_tam21_sac25,39,1454,412,0,33,326,1346,421,158,262,124,32,8,270,235,303,10,76,88,101,0,0,1154,218,308,330,49,97,186
H1N1_tam21_sac42,29,2557,203,0,36,370,1512,360,140,492,77,71,0,123,453,193,0,115,65,122,0,1,1172,253,272,229,32,86,254
H1N1_tam21_sac90,12,1222,297,0,22,189,1598,450,64,265,85,73,3,100,238,144,1,95,56,49,0,0,647,48,211,68,54,69,213
H1N1_tam7_sac366,6,600,167,0,14,86,560,160,55,124,96,37,0,30,78,92,0,19,17,11,0,1,235,63,86,78,9,33,122
NA,612,7822,1654,15,5074,1907,5669,1389,2495,1647,394,346,918,649,6452,1741,2898,272,362,219,54,172,3166,3279,1725,826,1576,390,826
