cluster,dominant_author_celltype,fraction_of_cluster,n_annotated_cells
0,CAP1,0.8917,3518
1,CAP1,0.9777,23986
10,AT2,0.7973,4109
11,Adventitial_fibroblast,1.0,1
12,AF1,0.9275,1283
13,T_lymphocyte,0.8765,3636
14,AF1,0.957,19217
15,Adventitial_fibroblast,0.9762,5051
16,AT1,0.976,1789
17,aMAC,0.9462,4032
18,Ciliated,0.9836,1280
19,Krt5,0.8989,1266
2,AF1,0.5194,129
20,Lymphatic_endothelium,0.9983,1715
21,CAP2,0.8173,4554
22,AF2,0.6995,3411
23,CAP1,0.5,14
24,Neutrophil,0.9976,1228
25,Peribronchial_fibroblast,0.9861,1005
26,Mesothelium,0.9978,901
28,CAP1,1.0,4
3,CAP1,0.9901,11301
4,CAP1,0.9763,2449
5,cMON,0.2187,4737
6,B_lymphocyte,0.9471,2475
7,CAP1,0.6515,462
8,Arterial_endothelium,0.9271,1194
9,Venous_endothelium,0.9413,2879
