sample_id,cluster,pct,condition
EEM-scRNA-113,0,34.551,H1N1_infected
EEM-scRNA-116,0,3.736,H1N1_infected
EEM-scRNA-117,0,0.251,H1N1_infected
EEM-scRNA-118,0,0.44,H1N1_infected
EEM-scRNA-124,0,0.054,H1N1_infected
EEM-scRNA-125,0,0.065,H1N1_infected
EEM-scRNA-126,0,0.364,H1N1_infected
EEM-scRNA-127,0,0.279,H1N1_infected
EEM-scRNA-158,0,0.427,homeostasis
EEM-scRNA-162,0,43.921,H1N1_infected
EEM-scRNA-166,0,0.569,homeostasis
EEM-scRNA-167,0,0.56,H1N1_infected
EEM-scRNA-170,0,0.439,H1N1_infected
EEM-scRNA-172,0,0.485,H1N1_infected
EEM-scRNA-179,0,0.354,H1N1_infected
EEM-scRNA-180,0,0.093,H1N1_infected
EEM-scRNA-181,0,0.667,H1N1_infected
EEM-scRNA-182,0,0.31,H1N1_infected
EEM-scRNA-236,0,0.644,H1N1_infected
EEM-scRNA-237,0,0.068,H1N1_infected
EEM-scRNA-238,0,0.111,H1N1_infected
EEM-scRNA-239,0,0.169,H1N1_infected
EEM-scRNA-249,0,0.127,unannotated
EEM-scRNA-250,0,0.113,unannotated
EEM-scRNA-251,0,0.07,unannotated
EEM-scRNA-288,0,0.068,unannotated
EEM-scRNA-289,0,0.169,unannotated
EEM-scRNA-290,0,0.087,unannotated
EEM-scRNA-291,0,0.195,unannotated
EEM-scRNA-292,0,0.227,unannotated
EEM-scRNA-310,0,0.101,H1N1_infected
EEM-scRNA-311,0,0.091,H1N1_infected
EEM-scRNA-312,0,0.183,H1N1_infected
EEM-scRNA-113,1,2.403,H1N1_infected
EEM-scRNA-116,1,10.918,H1N1_infected
EEM-scRNA-117,1,19.469,H1N1_infected
EEM-scRNA-118,1,13.962,H1N1_infected
EEM-scRNA-124,1,13.562,H1N1_infected
EEM-scRNA-125,1,16.376,H1N1_infected
EEM-scRNA-126,1,25.326,H1N1_infected
EEM-scRNA-127,1,33.95,H1N1_infected
EEM-scRNA-158,1,19.836,homeostasis
EEM-scRNA-162,1,2.339,H1N1_infected
EEM-scRNA-166,1,29.264,homeostasis
EEM-scRNA-167,1,17.98,H1N1_infected
EEM-scRNA-170,1,20.395,H1N1_infected
EEM-scRNA-172,1,17.12,H1N1_infected
EEM-scRNA-179,1,21.768,H1N1_infected
EEM-scRNA-180,1,36.063,H1N1_infected
EEM-scRNA-181,1,26.827,H1N1_infected
EEM-scRNA-182,1,16.733,H1N1_infected
EEM-scRNA-236,1,16.002,H1N1_infected
EEM-scRNA-237,1,12.816,H1N1_infected
EEM-scRNA-238,1,24.456,H1N1_infected
EEM-scRNA-239,1,17.467,H1N1_infected
EEM-scRNA-249,1,23.504,unannotated
EEM-scRNA-250,1,28.247,unannotated
EEM-scRNA-251,1,25.275,unannotated
EEM-scRNA-288,1,11.652,unannotated
EEM-scRNA-289,1,8.317,unannotated
EEM-scRNA-290,1,12.311,unannotated
