leiden_cluster,AF1,AF2,AT1,AT1_AT2,AT2,Adventitial_fibroblast,Alveolar_transitional,Arterial_endothelium,B_lymphocyte,CAP1,CAP2,Ciliated,Krt5,Lymphatic_endothelium,Mesothelium,NK_cell,Neutrophil,Peribronchial_fibroblast,Plasma_cell,Secretory,T_lymphocyte,VSMC,Venous_endothelium,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,2,1,0,0,0,0,0,48,0,3137,292,0,0,0,0,0,0,0,1,0,2,0,35,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,199,0,23450,12,0,0,2,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0
10,0,2,13,418,3276,0,199,0,0,11,1,0,6,0,0,0,0,0,1,180,0,0,2,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1190,1,0,0,0,71,0,0,1,7,1,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,446,1,0,0,0,3187,0,0,0,1,0,0,0,0,0,0
14,18391,8,0,0,4,782,0,0,0,0,0,0,0,0,0,0,0,22,0,0,10,0,0,0,0,0,0,0,0,0,0
15,102,0,0,0,0,4931,0,0,1,0,0,0,0,0,12,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
16,0,0,1746,11,1,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3815,0,0,0,1,214,0,1
18,1,0,0,0,9,0,1,0,0,1,1,1259,1,0,0,0,0,1,0,3,0,0,2,1,0,0,0,0,0,0,0
19,2,0,1,0,2,0,2,0,0,1,0,0,1138,0,0,0,0,0,0,119,0,0,0,0,0,0,0,1,0,0,0
2,67,2,0,0,0,8,1,4,1,28,1,0,0,1,0,0,0,0,0,0,2,5,8,0,1,0,0,0,0,0,0
20,0,0,0,0,1,1,0,0,0,1,0,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,8,0,810,3722,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
22,8,2386,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,5,1,0,0,1007,0,0,0,0,0,0,0,0,0
23,0,0,0,0,1,1,0,0,2,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,0,0,0,0,0,0,1,0,0,0,2
25,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,0,0,0,7,0,0,0,0,0,0,0,0,0
26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,22,0,11189,14,0,0,1,0,0,0,0,0,0,1,0,74,0,0,0,0,0,0,0,0
4,1,1,0,0,3,0,0,19,0,2391,21,0,1,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,9,0,1,2,527,488,1036,831,948,105,782
6,0,0,0,0,0,3,0,0,2344,0,0,0,0,0,0,0,0,0,125,0,3,0,0,0,0,0,0,0,0,0,0
7,1,11,0,0,0,0,0,0,3,301,8,0,0,0,0,50,0,0,0,0,69,0,19,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1107,0,85,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,0,0,0
