leiden_cluster,AF1,AF2,AT1,AT1_AT2,AT2,Adventitial_fibroblast,Alveolar_transitional,Arterial_endothelium,B_lymphocyte,CAP1,CAP2,Ciliated,Krt5,Lymphatic_endothelium,Mesothelium,NK_cell,Neutrophil,Peribronchial_fibroblast,Plasma_cell,Secretory,T_lymphocyte,VSMC,Venous_endothelium,aMAC,cDC1,cDC2,cMON,iMAC,iMON,maDC,pMON
0,0.0006,0.0003,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.8917,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0006,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0,0.9777,0.0005,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0005,0.0032,0.1017,0.7973,0.0,0.0484,0.0,0.0,0.0027,0.0002,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0002,0.0438,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.9275,0.0008,0.0,0.0,0.0,0.0553,0.0,0.0,0.0008,0.0055,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.1227,0.0003,0.0,0.0,0.0,0.8765,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
14,0.957,0.0004,0.0,0.0,0.0002,0.0407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0202,0.0,0.0,0.0,0.0,0.9762,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0008,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.976,0.0061,0.0006,0.0,0.0168,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.9462,0.0,0.0,0.0,0.0002,0.0531,0.0,0.0002
18,0.0008,0.0,0.0,0.0,0.007,0.0,0.0008,0.0,0.0,0.0008,0.0008,0.9836,0.0008,0.0,0.0,0.0,0.0,0.0008,0.0,0.0023,0.0,0.0,0.0016,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0016,0.0,0.0008,0.0,0.0016,0.0,0.0016,0.0,0.0,0.0008,0.0,0.0,0.8989,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0
2,0.5194,0.0155,0.0,0.0,0.0,0.062,0.0078,0.031,0.0078,0.2171,0.0078,0.0,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0388,0.062,0.0,0.0078,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.9983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.1779,0.8173,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0023,0.6995,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0015,0.0003,0.0,0.0,0.2952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0714,0.0714,0.0,0.0,0.1429,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0016
25,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9861,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.9978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.9901,0.0012,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0004,0.0004,0.0,0.0,0.0012,0.0,0.0,0.0078,0.0,0.9763,0.0086,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0002,0.0,0.0019,0.0,0.0002,0.0004,0.1113,0.103,0.2187,0.1754,0.2001,0.0222,0.1651
6,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.9471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0505,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
