donor,compartment,n_cells,median_umi,median_genes,original_detection,raw_detection,n_at_500,detection_at_500,n_at_1000,detection_at_1000,n_at_2000,detection_at_2000
LUNG_T06,epithelial,145,9200.0,2498.0,0.3724137931034483,0.3724137931034483,145,0.0568109444732106,145,0.09964086539883261,139,0.16861021539252985
LUNG_T06,myeloid,588,9111.0,2234.0,0.2193877551020408,0.2193877551020408,588,0.03982561523930729,588,0.06652602541398386,558,0.10904024418826784
LUNG_T08,epithelial,42,12054.0,2707.5,,,42,,42,,38,
LUNG_T08,myeloid,270,8836.0,2088.5,0.2222222222222222,0.2222222222222222,270,0.03861355555671509,270,0.05818264253042499,240,0.0917482973267216
LUNG_T09,epithelial,119,13771.0,3217.0,0.40336134453781514,0.40336134453781514,119,0.03068887115463549,119,0.05808807964994418,108,0.1154295550684172
LUNG_T09,myeloid,1481,12574.0,2629.0,0.23362592842673868,0.23362592842673868,1481,0.06470972639953912,1481,0.09568272965586565,1409,0.13420594419989118
LUNG_T18,epithelial,1028,13139.0,3291.0,0.34824902723735407,0.34824902723735407,1028,0.02463290031411978,1028,0.04709451427017018,953,0.09020655280899405
LUNG_T18,myeloid,1019,6008.0,1735.0,0.12266928361138371,0.12266928361138371,1019,0.03339578447187621,1019,0.05247775978051282,881,0.08088505199395726
LUNG_T19,epithelial,316,9816.0,2575.5,0.43037974683544306,0.43037974683544306,316,0.05386931869899958,316,0.09817067990682034,299,0.17662323388644713
LUNG_T19,myeloid,1206,11677.0,2504.0,0.2396351575456053,0.2396351575456053,1206,0.0441564608523541,1206,0.07263423910812822,1137,0.11086473867980894
LUNG_T20,epithelial,526,13681.0,3292.5,0.8460076045627376,0.8460076045627376,526,0.4863452100887614,526,0.6363865450375569,479,0.7500801277592295
LUNG_T20,myeloid,921,11231.0,2456.0,0.41259500542888167,0.41259500542888167,921,0.06032137437852955,921,0.10421158852561101,873,0.16001382998802072
LUNG_T25,epithelial,226,6531.5,1946.0,0.3584070796460177,0.3584070796460177,226,0.07596926921673572,226,0.12724248694933407,208,0.1911495739981031
LUNG_T25,myeloid,604,7768.5,1955.0,0.3228476821192053,0.3228476821192053,604,0.10132764053563774,604,0.15254446623907983,557,0.20852515302645053
LUNG_T28,epithelial,1228,13507.5,3323.5,0.48778501628664495,0.48778501628664495,1228,0.06901315033723901,1228,0.1175046421424119,1177,0.18596701962172785
LUNG_T28,myeloid,1012,4638.0,1418.5,0.16600790513833993,0.16600790513833993,1012,0.04281085568613017,1012,0.0703358309250385,885,0.11229369220238335
LUNG_T30,epithelial,882,4582.5,1637.5,0.7154195011337868,0.7154195011337868,882,0.2629596608161067,882,0.4101224606146154,776,0.5813065685013191
LUNG_T30,myeloid,976,7844.5,2021.0,0.30327868852459017,0.30327868852459017,976,0.09919715350869726,976,0.13983089706811216,890,0.19227132465572577
LUNG_T31,epithelial,272,7450.5,2306.0,0.5073529411764706,0.5073529411764706,272,0.08827665384727557,272,0.15462317980666795,225,0.2782162905978643
LUNG_T31,myeloid,413,6230.0,1652.0,0.31234866828087166,0.31234866828087166,413,0.11029463844171263,413,0.16321488194481215,374,0.2315338482198734
LUNG_T34,epithelial,2486,10532.0,2573.0,0.8905872888173774,0.8905872888173774,2486,0.3830770319183856,2486,0.5560344361650775,2388,0.7197400305877765
LUNG_T34,myeloid,304,6349.5,1809.5,0.40789473684210525,0.40789473684210525,304,0.08792584691178418,304,0.14464228686876543,282,0.21104616657965264
