ligand,receptor
CALM1,TRPC3
JAG2,NOTCH1
DLL1,NOTCH1
IGF1,IGF1R
JAG1,NOTCH1
WNT5A,FZD2
IL22,IL10RB
EPO,EPOR
CXCL16,CXCR6
CCL3L1,CCR5
TNFSF10,TNFRSF10C
IL10,IL10RA
IFNG,IFNGR1
IGF2,IGF2R
FLT3LG,FLT3
KITLG,KIT
IGF2,IGF1R
CXCL9,CXCR3
CCL5,CCR5
CCL8,CCR5
CCL4,CCR5
IL6,IL6ST
EGF,EGFR
IL1A,IL1R1
DKK1,LRP6
DKK1,LRP5
WNT5A,FZD5
GNAI2,MTNR1A
TNFSF14,LTBR
CD40LG,CD40
LTA,TNFRSF1A
LTB,LTBR
NRG1,ERBB2
NGF,NTRK1
IL4,IL4R
TGFA,EGFR
CXCL10,CXCR3
CSF1,CSF1R
CSF3,CSF3R
CSF2,CSF2RA
HGF,MET
TNF,TNFRSF1B
INS,INSR
TNFSF9,TNFRSF9
CD70,CD27
FASLG,FAS
TNFSF10,TNFRSF10D
TNFSF10,TNFRSF10B
TNFSF10,TNFRSF10A
TNF,TNFRSF1A
SHH,PTCH1
GNRH1,GNRHR
WNT5A,ROR2
CXCL11,CXCR3
CD80,CD28
CD86,CD28
IL1B,IL1R2
TGFB1,TGFBR2
TGFB1,TGFBR3
TGFB1,TGFBR1
IL1B,IL1R1
LIF,LIFR
IL2,IL2RG
IL13,IL13RA1
IL13,IL13RA2
TGFB3,TGFBR2
BMP2,BMPR2
GDF5,BMPR2
NDP,FZD4
PRL,PRLR
GH1,PRLR
GH1,GHR
IFNG,IFNGR2
IL3,IL3RA
INS,IGF1R
IL12A,IL12RB1
IFNA1,IFNAR1
IFNB1,IFNAR1
IFNA1,IFNAR2
IFNB1,IFNAR2
IL15,IL15RA
NRG3,ERBB4
NRG1,ERBB4
SHH,PTCH2
IHH,PTCH2
SHH,HHIP
AREG,EGFR
HBEGF,EGFR
NRG4,ERBB4
DLL4,NOTCH4
JAG1,NOTCH2
JAG2,NOTCH2
JAG2,NOTCH3
DLL3,NOTCH1
WNT5A,FZD4
WNT1,LRP6
IL23A,IL12RB1
IL6,IL6R
DLL4,NOTCH1
SHH,LRP2
IL23A,IL23R
PSEN1,NCSTN
IL31,OSMR
OSM,OSMR
IL21,IL21R
AMH,AMHR2
TGFB2,TGFBR2
INHBA,ACVR2B
BMP7,ACVR2B
BMP6,ACVR2B
BMP2,ACVR2B
BMP7,BMPR2
BMP6,BMPR2
GDF6,BMPR2
BMP4,BMPR2
SHH,BOC
IL20,IL22RA1
IL24,IL22RA1
IL26,IL20RA
IL19,IL20RA
IL20,IL20RA
IL24,IL20RA
IL27,IL27RA
MFAP5,NOTCH1
CTF1,IL6ST
IHH,PTCH1
PDGFC,PDGFRA
PDGFC,PDGFRB
PDGFA,PDGFRA
PDGFB,PDGFRA
FGF1,FGFR1
FGF1,FGFR2
FGF2,FGFR2
FGF3,FGFR2
FGF4,FGFR2
FGF7,FGFR2
FGF8,FGFR2
FGF10,FGFR2
VEGFB,FLT1
EFNA1,EPHA1
EFNA2,EPHA2
EFNA5,EPHA5
EFNB3,EPHB3
EFNA1,EPHA6
EFNA2,EPHA6
EFNA3,EPHA6
EFNA4,EPHA6
EFNA5,EPHA6
EFNA5,EPHA7
EFNA1,EPHA8
EFNA1,EPHA4
EFNA5,EPHA4
EFNA1,EPHA2
EFNA1,EPHA3
EFNA5,EPHA3
EFNA1,EPHA5
EFNB2,EPHB4
ANGPT2,TEK
ANGPT1,TEK
ANGPT4,TEK
AGRN,MUSK
WNT3A,RYK
GAS6,AXL
GAS6,MERTK
GDNF,RET
IL5,IL5RA
DLL1,NOTCH2
THPO,MPL
CNTF,CNTFR
IL7,IL7R
NRG2,ERBB3
NRG2,ERBB4
LEP,LEPR
NRG1,ERBB3
DHH,PTCH2
DHH,HHIP
IHH,HHIP
BTC,EGFR
BTC,ERBB4
HBEGF,ERBB4
BMP8B,BMPR1A
BMP8B,ACVR1
IL9,IL9R
EGF,ERBB2
DLL3,NOTCH2
DKK1,KREMEN2
DKK1,KREMEN1
WNT2,FZD9
IL11,IL11RA
WNT7A,FZD5
IL31,IL31RA
GDF11,ACVR2B
NODAL,ACVR2B
GDF5,ACVR2B
BMP15,BMPR2
CSF2,CSF3R
IFNL1,IL10RB
IFNL2,IL10RB
IFNL3,IL10RB
IL10,IL10RB
IFNL1,IFNLR1
IFNL2,IFNLR1
IFNL3,IFNLR1
IL19,IL20RB
IL20,IL20RB
IL24,IL20RB
IL22,IL22RA2
CCN3,NOTCH1
MFAP2,NOTCH1
CTF1,LIFR
TGFB1,ITGB8
TGFB1,ITGB6
DHH,PTCH1
PDGFD,PDGFRB
FGF6,FGFR2
FGF17,FGFR2
FGF18,FGFR2
FGF22,FGFR2
FGF9,FGFR3
MST1,MST1R
BDNF,NTRK2
NTF3,NTRK3
EFNA3,EPHA3
EFNA4,EPHA4
EFNB1,EPHB1
EFNB2,EPHB2
EFNA1,EPHA7
EFNA2,EPHA7
EFNA3,EPHA7
EFNA4,EPHA7
EFNA2,EPHA8
EFNA3,EPHA8
EFNA4,EPHA8
EFNA5,EPHA8
EFNA4,EPHA2
EFNA4,EPHA3
EFNA2,EPHA5
EFNA3,EPHA5
EFNA4,EPHA5
EFNB2,EPHB1
EFNB1,EPHB2
EFNB1,EPHB3
EFNB2,EPHB3
EFNB2,EPHA3
AFDN,EPHB3
PTN,ALK
MDK,ALK
ANGPT4,TIE1
ANGPTL1,TEK
WNT5A,ROR1
WNT1,RYK
GNAI2,CCR5
ALOX5AP,ALOX5
CXCL12,ACKR3
CXCL11,ACKR3
CCL19,ACKR4
CCL21,ACKR4
CCL25,ACKR4
INHBA,ACVR2A
INHBA,ACVR1B
INHBB,ACVR2A
INHBB,ACVR1B
INHBB,ACVR2B
INHBB,ACVR1C
INHA,ACVR2A
INHA,ACVR1B
INHA,ACVR2B
ADM,CALCRL
ADM,RAMP2
ADM2,CALCRL
CALCA,CALCRL
CALCA,RAMP2
CALCB,CALCRL
ADM,CALCR
ADM2,CALCR
ADM2,RAMP1
CALCA,CALCR
CALCA,RAMP1
IAPP,CALCR
IAPP,RAMP1
CALCB,CALCR
CALCB,RAMP1
IAPP,RAMP2
IAPP,RAMP3
AMH,ACVR1
APLN,APLNR
AGT,AGTR1
AGT,AGTR2
PROS1,AXL
TNFSF13B,TNFRSF13C
NMB,NMBR
GRP,GRPR
NMB,GRPR
TNFSF13,TNFRSF17
TNFSF13B,TNFRSF17
BMP10,BMPR1B
BMP10,ACVR2A
BMP10,BMPR1A
BMP10,ACVRL1
BMP10,ACVR1
BMP10,ACVR2B
BMP10,BMPR2
BMP2,BMPR1B
BMP2,ACVR2A
BMP2,BMPR1A
BMP2,ACVR1
BMP4,BMPR1B
BMP4,ACVR2A
BMP4,BMPR1A
BMP4,ACVR1
BMP4,ACVR2B
BMP5,BMPR1B
BMP5,ACVR2A
BMP5,BMPR1A
BMP5,ACVR1
BMP5,ACVR2B
BMP5,BMPR2
BMP6,BMPR1B
BMP6,ACVR2A
BMP6,BMPR1A
BMP6,ACVR1
BMP7,BMPR1B
BMP7,ACVR2A
BMP7,BMPR1A
BMP7,ACVR1
BMP8B,BMPR1B
BMP8B,ACVR2A
BMP8B,ACVR2B
BMP8B,BMPR2
GDF2,ACVR2A
GDF2,ACVRL1
GDF2,ACVR1
GDF2,ACVR2B
GDF2,BMPR2
KNG1,BDKRB1
KNG1,BDKRB2
C3,C3AR1
C5,C5AR1
RPS19,C5AR1
C5,C5AR2
CCK,CCKAR
GAST,CCKBR
CCK,CCKBR
CCL13,CCR1
CCL8,CCR1
CCL14,CCR1
CCL15,CCR1
CCL23,CCR1
CCL3,CCR1
CCL5,CCR1
CCL7,CCR1
CCL4,CCR1
CCL27,CCR10
CCL28,CCR10
CCL13,CCR2
CCL16,CCR2
CCL2,CCR2
CCL7,CCR2
CCL8,CCR2
CCL11,CCR2
CCL24,CCR2
CCL26,CCR2
CCL11,CCR3
CCL13,CCR3
CCL15,CCR3
CCL2,CCR3
CCL24,CCR3
CCL26,CCR3
CCL28,CCR3
CCL5,CCR3
CCL7,CCR3
CCL8,CCR3
CXCL10,CCR3
CXCL11,CCR3
CXCL9,CCR3
CCL17,CCR4
CCL22,CCR4
CCL11,CCR5
CCL13,CCR5
CCL14,CCR5
CCL16,CCR5
CCL2,CCR5
CCL3,CCR5
CCL7,CCR5
DEFB4B,CCR6
CCL20,CCR6
CCL19,CCR7
CCL21,CCR7
CCL1,CCR8
CCL25,CCR9
CCL19,CCRL2
TNFSF8,TNFRSF8
RARRES2,CMKLR1
RARRES2,CMKLR2
CNTF,IL6ST
CNTF,LIFR
CLCF1,IL6ST
CLCF1,CNTFR
CLCF1,LIFR
CSF3,CSF1R
CSF2,CSF1R
CRH,CRHR1
UCN,CRHR1
UCN2,CRHR1
CRH,CRHR2
UCN,CRHR2
UCN2,CRHR2
UCN3,CRHR2
YARS1,CXCR1
CXCL6,CXCR1
CXCL8,CXCR1
CXCL1,CXCR2
CXCL2,CXCR2
CXCL3,CXCR2
CXCL5,CXCR2
CXCL6,CXCR2
PPBP,CXCR2
CXCL8,CXCR2
CCL13,CXCR3
CCL19,CXCR3
CCL20,CXCR3
CCL5,CXCR3
CXCL12,CXCR3
CCL11,CXCR3
CCL7,CXCR3
CXCL12,CXCR4
CXCL13,CXCR5
CX3CL1,CX3CR1
TNFSF15,TNFRSF25
POMC,OPRD1
PDYN,OPRD1
PENK,OPRD1
EDA,EDAR
EDA,EDA2R
EPGN,EGFR
EREG,EGFR
EREG,ERBB4
EDN1,EDNRA
EDN2,EDNRA
EDN3,EDNRB
FGF19,FGFR4
VEGFA,FLT1
VEGFC,FLT4
VEGFD,FLT4
PDGFC,FLT4
ANXA1,FPR2
CAMP,FPR2
SAA1,FPR2
ANXA1,FPR3
HEBP1,FPR3
CGA,FSHR
FSHB,FSHR
WNT3A,FZD6
WNT4,FZD6
WNT5A,FZD6
GAL,GALR1
GAL,GALR2
GAL,GALR3
GHRL,GHSR
GHRH,GHRHR
GIP,GIPR
GCG,GLP1R
GCG,GLP2R
GCG,GCGR
TNFSF18,TNFRSF18
GNRH2,GNRHR
CSF2,CSF2RB
GDF10,ACVR1B
GDF7,ACVR2A
GDF7,BMPR1A
GDF7,BMPR2
GDF9,BMPR1B
GDF9,ACVR2A
GDF9,BMPR1A
GDF9,TGFBR1
GDF9,BMPR2
GH2,GHR
NPPA,NPR1
NPPB,NPR1
NPPC,NPR2
GUCA2A,GUCY2C
GUCA2B,GUCY2C
BTLA,TNFRSF14
TNFRSF14,BTLA
TNFSF14,TNFRSF14
LTA,TNFRSF14
CCL16,HRH4
PSAP,GPR37
PSAP,GPR37L1
CCL5,GPR75
RSPO1,LGR4
RSPO2,LGR4
RSPO3,LGR4
RSPO4,LGR4
RSPO1,LGR5
RSPO2,LGR5
RSPO3,LGR5
RSPO4,LGR5
RSPO3,LGR6
RSPO1,LGR6
RSPO2,LGR6
RSPO4,LGR6
PENK,MRGPRX1
ADM,MRGPRX2
IFNA10,IFNAR1
IFNA10,IFNAR2
IFNA14,IFNAR1
IFNA14,IFNAR2
IFNA16,IFNAR1
IFNA16,IFNAR2
IFNA17,IFNAR1
IFNA17,IFNAR2
IFNA2,IFNAR1
IFNA2,IFNAR2
IFNA21,IFNAR1
