"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","compartment","label","FDR_exploratory_subtype_family"
72,0.138255708325833,"Up",0.13884054929149,0.345401048286002,"HALLMARK_COAGULATION",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.163077054155341
22,0.0713375498225911,"Up",0.101756633131761,0.345401048286002,"HALLMARK_ANGIOGENESIS",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.135152055417561
89,0.0106360421629204,"Up",0.0210512944640644,0.18946165017658,"HALLMARK_MYOGENESIS",3,10,11,11555,"voom_TMM",0.18946165017658,"GSE136831","AT2","ATII",0.0696219205555732
161,0.0583911090663793,"Up",0.327027332980488,0.345401048286002,"HALLMARK_P53_PATHWAY",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.334121201374859
90,0.0353838210781366,"Up",0.243180308683581,0.345401048286002,"HALLMARK_ANDROGEN_RESPONSE",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.256236969552498
143,0.00956314887774533,"Up",0.251073586994525,0.345401048286002,"HALLMARK_ESTROGEN_RESPONSE_EARLY",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.262790354387603
100,0.120923816386962,"Up",0.295499778151155,0.345401048286002,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.303887326439288
133,0.035359713765628,"Up",0.345401048286002,0.345401048286002,"HALLMARK_COMPLEMENT",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.352129640135729
96,0.0529480148212652,"Up",0.300442486029117,0.345401048286002,"HALLMARK_ALLOGRAFT_REJECTION",3,10,11,11555,"voom_TMM",0.345401048286002,"GSE136831","AT2","ATII",0.308297191546218
166,0.147981235452626,"Down",0.37094143878984,0.37094143878984,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",10,4,12,11289,"voom_TMM",0.37094143878984,"GSE136831","fibroblasts","Fibroblast",0.376537538081928
43,0.0389629640568519,"Down",0.265526383905852,0.290814610944504,"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",10,4,12,11289,"voom_TMM",0.290814610944504,"GSE136831","fibroblasts","Fibroblast",0.276077101147144
171,0.0412438382070794,"Up",0.0209168139309649,0.0628807991406506,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",10,4,12,11289,"voom_TMM",0.0628807991406506,"GSE136831","fibroblasts","Fibroblast",0.0696219205555732
113,0.0662542476460096,"Down",0.347866677867412,0.363678799588658,"HALLMARK_INFLAMMATORY_RESPONSE",10,4,12,11289,"voom_TMM",0.363678799588658,"GSE136831","fibroblasts","Fibroblast",0.353877333208534
