"NGenes","Direction","PValue","FDR","Correlation","correlation_setting","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","specification"
198,"Up",5.8435036915975e-13,2.02886448172265e-09,0.01,"fixed_0.01","HALLMARK_E2F_TARGETS",12,3,13,12410,"voom_TMM",2.02886448172265e-09,"all_unadjusted"
189,"Up",6.4564126631893e-08,7.47222158886441e-05,0.01,"fixed_0.01","HALLMARK_G2M_CHECKPOINT",12,3,13,12410,"voom_TMM",7.47222158886441e-05,"all_unadjusted"
38,"Up",9.19242080679711e-08,7.97902126029989e-05,0.01,"fixed_0.01","GOBP_CELL_CYCLE_DNA_REPLICATION",12,3,13,12410,"voom_TMM",7.97902126029989e-05,"all_unadjusted"
16,"Up",3.61260935718051e-05,0.00526344932306637,0.01,"fixed_0.01","GOBP_MITOTIC_DNA_REPLICATION",12,3,13,12410,"voom_TMM",0.00526344932306637,"all_unadjusted"
198,"Up",3.33221980465566e-05,0.0549043769981576,0.01,"fixed_0.01","HALLMARK_E2F_TARGETS",12,3,9,12410,"voom_TMM",0.0549043769981576,"all_adjusted"
189,"Up",0.00283607260709065,0.26985467751234,0.01,"fixed_0.01","HALLMARK_G2M_CHECKPOINT",12,3,9,12410,"voom_TMM",0.26985467751234,"all_adjusted"
38,"Up",0.00181586327176953,0.238765596301146,0.01,"fixed_0.01","GOBP_CELL_CYCLE_DNA_REPLICATION",12,3,9,12410,"voom_TMM",0.238765596301146,"all_adjusted"
16,"Up",0.0590242633695167,0.626704105256764,0.01,"fixed_0.01","GOBP_MITOTIC_DNA_REPLICATION",12,3,9,12410,"voom_TMM",0.626704105256764,"all_adjusted"
198,"Up",0.000200999370464058,0.169356403832924,0.01,"fixed_0.01","HALLMARK_E2F_TARGETS",8,3,6,12379,"voom_TMM",0.169356403832924,"heterozygote_adjusted"
189,"Up",0.00375496493969502,0.407139925791241,0.01,"fixed_0.01","HALLMARK_G2M_CHECKPOINT",8,3,6,12379,"voom_TMM",0.407139925791241,"heterozygote_adjusted"
38,"Up",0.00307139179278448,0.407139925791241,0.01,"fixed_0.01","GOBP_CELL_CYCLE_DNA_REPLICATION",8,3,6,12379,"voom_TMM",0.407139925791241,"heterozygote_adjusted"
16,"Up",0.0667373800871835,0.662015137896179,0.01,"fixed_0.01","GOBP_MITOTIC_DNA_REPLICATION",8,3,6,12379,"voom_TMM",0.662015137896179,"heterozygote_adjusted"
182,"Up",5.19125451670052e-08,0.000174426151761138,0.01,"fixed_0.01","HALLMARK_E2F_TARGETS",3,3,3,11000,"voom_TMM",0.000174426151761138,"december_heterozygote"
175,"Up",0.000432476652684652,0.144745081598094,0.01,"fixed_0.01","HALLMARK_G2M_CHECKPOINT",3,3,3,11000,"voom_TMM",0.144745081598094,"december_heterozygote"
34,"Up",0.000318248729959109,0.133664466582826,0.01,"fixed_0.01","GOBP_CELL_CYCLE_DNA_REPLICATION",3,3,3,11000,"voom_TMM",0.133664466582826,"december_heterozygote"
16,"Up",0.00118183828639464,0.209926798600546,0.01,"fixed_0.01","GOBP_MITOTIC_DNA_REPLICATION",3,3,3,11000,"voom_TMM",0.209926798600546,"december_heterozygote"
