cohort,compartment,collection,tested_sets,min_FDR,hits_FDR05
GSE136831,AT2,gobp,3089,0.999964227244302,0
GSE136831,AT2,hallmark,49,0.986412799076232,0
GSE136831,fibroblasts,gobp,3493,0.3018067494166465,0
GSE136831,fibroblasts,hallmark,50,0.254268528668645,0
GSE136831,macrophages,gobp,3866,0.7570258086515206,0
GSE136831,macrophages,hallmark,50,0.144290669730915,0
GSE135893,AT2,hallmark,9,0.043463599435823105,3
GSE135893,fibroblasts,gobp,17,0.1750893611763242,0
GSE135893,fibroblasts,hallmark,6,0.3236782716244425,0
GSE135893,macrophages,gobp,194,0.2947590455762175,0
GSE135893,macrophages,hallmark,18,0.1278655799572593,0
