cohort,compartment,label,set,mean_set_transcript_share_IPF,mean_set_transcript_share_control,delta_transcript_share
GSE136831,AT2,ATII,HALLMARK_COAGULATION,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_ANGIOGENESIS,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_MYOGENESIS,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_P53_PATHWAY,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_ANDROGEN_RESPONSE,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_COMPLEMENT,1.0,1.0,0.0
GSE136831,AT2,ATII,HALLMARK_ALLOGRAFT_REJECTION,1.0,1.0,0.0
GSE136831,fibroblasts,Fibroblast,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.46218738895857353,0.955726102062969,-0.4935387131043955
GSE136831,fibroblasts,Fibroblast,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.47395304150546913,0.9567663673841268,-0.48281332587865766
GSE136831,fibroblasts,Fibroblast,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.40713287927934455,0.9460863826332766,-0.5389535033539321
GSE136831,fibroblasts,Fibroblast,HALLMARK_INFLAMMATORY_RESPONSE,0.43819692886009415,0.9576598272297353,-0.5194628983696412
GSE136831,fibroblasts,Fibroblast,HALLMARK_XENOBIOTIC_METABOLISM,0.4817742794335191,0.9588082556489206,-0.4770339762154015
GSE136831,fibroblasts,Fibroblast,HALLMARK_APICAL_JUNCTION,0.42802280805778703,0.9231644205397793,-0.4951416124819923
GSE136831,fibroblasts,Fibroblast,GOBP_CYTOPLASMIC_TRANSLATION,0.41503159708900156,0.9476929002355672,-0.5326613031465657
GSE136831,fibroblasts,Fibroblast,GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,0.6526104894038318,0.9854456607922142,-0.33283517138838237
GSE136831,fibroblasts,Fibroblast,GOBP_FOAM_CELL_DIFFERENTIATION,0.6245745615566665,0.9835062128010348,-0.3589316512443683
GSE136831,fibroblasts,Fibroblast,GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,0.48266749104168416,0.9559676151889912,-0.47330012414730704
GSE136831,fibroblasts,Fibroblast,GOBP_REGULATION_OF_LIPID_STORAGE,0.5268520889577762,0.9621571878946804,-0.43530509893690417
GSE136831,fibroblasts,Fibroblast,GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY,0.4953083939755488,0.9515291465942922,-0.4562207526187434
GSE136831,fibroblasts,Fibroblast,GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,0.46166532485705986,0.9257091594235044,-0.46404383456644455
GSE136831,fibroblasts,Fibroblast,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,0.3433098556632551,0.9346379709072243,-0.5913281152439692
GSE136831,fibroblasts,Fibroblast,GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,0.5069084844702233,0.9548318059749321,-0.4479233215047088
GSE136831,fibroblasts,Fibroblast,GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.4337785291117981,0.9444988362648692,-0.510720307153071
GSE136831,fibroblasts,Fibroblast,GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID,0.5034944579893786,0.9491920875351773,-0.4456976295457986
GSE136831,fibroblasts,Fibroblast,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,0.45459610053238386,0.9520913567943758,-0.497495256261992
GSE136831,fibroblasts,Fibroblast,GOBP_ZYMOGEN_ACTIVATION,0.4608475253486308,0.9627221747709244,-0.5018746494222935
GSE136831,fibroblasts,Fibroblast,GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE,0.6246251791623905,0.9717190287715014,-0.34709384960911094
GSE136831,fibroblasts,Fibroblast,GOBP_PLASMINOGEN_ACTIVATION,0.4452851465027612,0.9703408295720966,-0.5250556830693354
GSE136831,fibroblasts,Fibroblast,GOBP_DETOXIFICATION,0.49748627753162455,0.9608412463616418,-0.46335496883001726
GSE136831,fibroblasts,Fibroblast,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.4509205905375976,0.9464165439721306,-0.495495953434533
GSE136831,fibroblasts,Fibroblast,GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,0.43707780289832376,0.9411183199487432,-0.5040405170504194
GSE136831,fibroblasts,Myofibroblast,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5378126110414265,0.04427389793703097,0.49353871310439557
GSE136831,fibroblasts,Myofibroblast,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.5260469584945309,0.04323363261587318,0.48281332587865766
GSE136831,fibroblasts,Myofibroblast,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5928671207206554,0.053913617366723454,0.5389535033539319
GSE136831,fibroblasts,Myofibroblast,HALLMARK_INFLAMMATORY_RESPONSE,0.5618030711399059,0.042340172770264625,0.5194628983696413
GSE136831,fibroblasts,Myofibroblast,HALLMARK_XENOBIOTIC_METABOLISM,0.5182257205664809,0.041191744351079376,0.4770339762154015
GSE136831,fibroblasts,Myofibroblast,HALLMARK_APICAL_JUNCTION,0.571977191942213,0.07683557946022075,0.49514161248199223
GSE136831,fibroblasts,Myofibroblast,GOBP_CYTOPLASMIC_TRANSLATION,0.5849684029109984,0.05230709976443277,0.5326613031465656
GSE136831,fibroblasts,Myofibroblast,GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,0.3473895105961681,0.014554339207785802,0.3328351713883823
GSE136831,fibroblasts,Myofibroblast,GOBP_FOAM_CELL_DIFFERENTIATION,0.3754254384433335,0.016493787198965257,0.3589316512443682
GSE136831,fibroblasts,Myofibroblast,GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,0.5173325089583158,0.04403238481100874,0.4733001241473071
GSE136831,fibroblasts,Myofibroblast,GOBP_REGULATION_OF_LIPID_STORAGE,0.47314791104222365,0.03784281210531966,0.435305098936904
GSE136831,fibroblasts,Myofibroblast,GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY,0.5046916060244512,0.04847085340570775,0.4562207526187434
GSE136831,fibroblasts,Myofibroblast,GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,0.5383346751429402,0.07429084057649557,0.4640438345664446
GSE136831,fibroblasts,Myofibroblast,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,0.656690144336745,0.06536202909277555,0.5913281152439694
GSE136831,fibroblasts,Myofibroblast,GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,0.4930915155297767,0.04516819402506791,0.4479233215047088
GSE136831,fibroblasts,Myofibroblast,GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,0.5662214708882018,0.05550116373513079,0.510720307153071
GSE136831,fibroblasts,Myofibroblast,GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID,0.49650554201062136,0.05080791246482282,0.44569762954579856
GSE136831,fibroblasts,Myofibroblast,GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,0.5454038994676161,0.047908643205624116,0.49749525626199204
GSE136831,fibroblasts,Myofibroblast,GOBP_ZYMOGEN_ACTIVATION,0.5391524746513692,0.037277825229075565,0.5018746494222937
