"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","contrast"
194,0.35372439054618,"Up",0.748603072077825,0.918917669557412,"HALLMARK_E2F_TARGETS",4,8,7,11191,"historical_logCPM",0.918917669557412,"A"
184,0.297334781696731,"Up",0.823951556296553,0.918917669557412,"HALLMARK_G2M_CHECKPOINT",4,8,7,11191,"historical_logCPM",0.918917669557412,"A"
15,0.38881162035739,"Up",0.918917669557412,0.918917669557412,"GOBP_MITOTIC_DNA_REPLICATION",4,8,7,11191,"historical_logCPM",0.918917669557412,"A"
36,0.333217560237733,"Up",0.811876689377718,0.918917669557412,"GOBP_CELL_CYCLE_DNA_REPLICATION",4,8,7,11191,"historical_logCPM",0.918917669557412,"A"
10,-0.00926217750254822,"Up",0.510831322938647,0.918917669557412,"GOBP_ARGININE_METABOLIC_PROCESS",4,8,7,11191,"historical_logCPM",0.918917669557412,"A"
194,0.216108738119953,"Up",0.308453986388443,0.46355577592199,"HALLMARK_E2F_TARGETS",4,8,7,11191,"voom_TMM",0.46355577592199,"A"
184,0.135084606732948,"Up",0.36130436986435,0.46355577592199,"HALLMARK_G2M_CHECKPOINT",4,8,7,11191,"voom_TMM",0.46355577592199,"A"
15,0.310233646483171,"Up",0.370844620737592,0.46355577592199,"GOBP_MITOTIC_DNA_REPLICATION",4,8,7,11191,"voom_TMM",0.46355577592199,"A"
36,0.192273257561726,"Up",0.362548729193649,0.46355577592199,"GOBP_CELL_CYCLE_DNA_REPLICATION",4,8,7,11191,"voom_TMM",0.46355577592199,"A"
10,0.0261419813756096,"Up",0.465460778590434,0.465460778590434,"GOBP_ARGININE_METABOLIC_PROCESS",4,8,7,11191,"voom_TMM",0.465460778590434,"A"
193,0.340278513486102,"Up",0.365015540730733,0.454182228400692,"HALLMARK_E2F_TARGETS",8,3,6,11048,"historical_logCPM",0.454182228400692,"B"
182,0.312503802227041,"Up",0.454182228400692,0.454182228400692,"HALLMARK_G2M_CHECKPOINT",8,3,6,11048,"historical_logCPM",0.454182228400692,"B"
15,0.448160753221995,"Up",0.265385173782646,0.454182228400692,"GOBP_MITOTIC_DNA_REPLICATION",8,3,6,11048,"historical_logCPM",0.454182228400692,"B"
36,0.391771852070248,"Up",0.327461143634043,0.454182228400692,"GOBP_CELL_CYCLE_DNA_REPLICATION",8,3,6,11048,"historical_logCPM",0.454182228400692,"B"
10,0.0516253768752867,"Up",0.157138928655031,0.454182228400692,"GOBP_ARGININE_METABOLIC_PROCESS",8,3,6,11048,"historical_logCPM",0.454182228400692,"B"
193,0.148848827956417,"Up",0.256583147040039,0.427638578400064,"HALLMARK_E2F_TARGETS",8,3,6,11048,"voom_TMM",0.427638578400064,"B"
182,0.100552015323423,"Up",0.204752421504454,0.427638578400064,"HALLMARK_G2M_CHECKPOINT",8,3,6,11048,"voom_TMM",0.427638578400064,"B"
15,0.237014822054288,"Up",0.376228244945132,0.470285306181415,"GOBP_MITOTIC_DNA_REPLICATION",8,3,6,11048,"voom_TMM",0.470285306181415,"B"
36,0.149738800732773,"Up",0.234124748870354,0.427638578400064,"GOBP_CELL_CYCLE_DNA_REPLICATION",8,3,6,11048,"voom_TMM",0.427638578400064,"B"
10,0.0186218799405872,"Up",0.5654543171118,0.5654543171118,"GOBP_ARGININE_METABOLIC_PROCESS",8,3,6,11048,"voom_TMM",0.5654543171118,"B"
