gene,input_variance,PC1_loading,PC2_loading
UTY,14.571054668005813,-0.007055109150092642,-0.01645866827635369
KDM5D,13.409622087416414,-0.00146084791998588,-0.017805173697899558
DDX3Y,11.099153567970875,-0.002789052468456218,-0.011302798159521205
USP9Y,9.469030085699615,-0.0049531786892627345,-0.006071452582882653
EIF1AY,7.1331840495096515,0.0073902607794735994,-0.018924372234923537
IGHG1,6.900520918643099,0.07918032984958148,-0.043087142238404375
FGG,6.835812823825352,0.0008772270383117107,0.0018304504084090628
SPINK1,6.62983717132351,0.06346663712364517,0.03518123694162877
IGKC,6.460087085974674,0.07828404991874946,-0.04119654730885833
IGHG3,6.337445083689157,0.06692628246855332,-0.03394632066972405
MUC3A,6.125622858844696,0.020522385312192713,0.017889772393414237
LIF,6.117640092106532,0.0022090098285352396,0.10725390228026414
CXCL14,6.075618591115664,0.07999192039234827,0.03614541308485352
CEACAM5,5.972900254311649,0.05299737187784024,0.06725666706036955
LTF,5.95632814644737,0.05711578603465438,-0.015794894610389486
IGHM,5.7617243953641655,0.06615022686366916,-0.00948576815315967
IGHA1,5.627080776487819,0.06919735235648536,-0.03474528931594811
CSF3,5.536859467562278,-0.048826785544077766,0.050994186335234996
NELL1,5.323121305190141,0.014100429168754664,0.05814720394953907
TFPI2,5.054776902515162,0.04519891319626077,0.06926010934726835
MUC5B,4.966208451023188,0.037770210650205124,-0.009979430913504027
KRT16,4.709242519422884,-0.012160087637966173,0.10051038700641575
CYP24A1,4.702201607116498,0.03495634131790892,0.05179772600902462
JCHAIN,4.602573019131147,0.0572233064166713,-0.04819500150840112
MMP1,4.595606745489387,0.0639551116299951,0.02049033315923588
SPP1,4.586247345217981,0.05046059371738619,0.03639920938685752
HMGCS2,4.579182421101122,-0.027349643943915623,-0.04689869670454858
SCGB3A2,4.569217826300743,0.0306157259584311,-0.06121298240904796
CRLF1,4.554262728436968,0.05139441804747073,0.044894745085877374
IGLC1,4.536550996433765,0.05650973881205653,-0.04062865342714575
GLB1L3,4.479456840262917,0.05012298571220798,0.017089381235896678
HABP2,4.420664173412515,0.054601675947761524,0.011728499729191598
CXCL8,4.324940930043482,-0.015136248582107291,0.06631605483415134
LHX9,4.299352627266812,0.014801518312030701,-0.007040869948144743
PIK3C2G,4.269334819466753,-0.002163984488471434,-0.002537818768425747
CCL20,4.255293473712267,0.004338934797065568,0.041699275632157126
CRABP2,4.242449896707148,0.04897645038559759,0.04178091324261949
ZFY,4.198812488264345,0.004570869706069361,-0.004051196788023488
