patient,normal,LUAD
3,4.0204351029043,4.41756860714055
4,4.3314940898467,4.30409499465564
5,4.40061845148113,4.66942740052327
6,3.66487128099953,4.34985394462544
7,4.02058743310882,4.20997968495606
8,3.58182263754482,3.94024360620411
9,3.80149001250206,4.67153659318044
10,4.78966846514418,4.53575779250541
11,3.38438568131735,4.66619967789826
12,4.00168835441963,4.52937666172496
13,3.5986691619123,4.43184655700053
14,3.52182555837752,4.13650558861324
15,3.89520234570273,4.13336720398836
16,4.69446611924292,4.74801333756625
17,3.99656248326795,4.30561657504721
18,4.18369526472844,4.77865548591447
19,4.0566052058378,4.34806291764336
20,3.88867845818752,4.05501543655482
21,4.40777036709676,4.54238045469264
22,3.84231873768272,4.22604959960592
23,4.1049722590052,4.25634758510953
24,4.56228348593058,4.45370678680396
25,4.89176377862482,4.44431690255197
