phase,label,cells,of_phase_pct
baseline,aMAC,331,30.535055350553506
baseline,iMAC,29,2.6752767527675276
baseline,iMON,20,1.845018450184502
active repair,aMAC,732,22.24924012158055
active repair,iMAC,204,6.2006079027355625
active repair,iMON,1001,30.425531914893618
injury resolution,aMAC,2396,48.70908721284814
injury resolution,iMAC,544,11.059158365521448
injury resolution,iMON,129,2.622484244765196
long-term homeostasis,aMAC,358,50.85227272727273
long-term homeostasis,iMAC,55,7.8125
long-term homeostasis,iMON,12,1.7045454545454546
