Sample,GSM,Cells before QC,Cells after QC,Cells removed,% retained,removed_low_counts,removed_high_counts,removed_low_genes,removed_high_genes,removed_high_mito,removed_high_top20
EEM-scRNA-113,GSM8181583,3956,3299,657,83.39,8,0,54,0,619,142
EEM-scRNA-116,GSM8181584,5686,4689,997,82.47,8,0,94,0,896,500
EEM-scRNA-117,GSM8181585,6172,5000,1172,81.01,2,0,289,0,1028,459
EEM-scRNA-118,GSM8181586,6317,4979,1338,78.82,52,0,59,0,1220,456
EEM-scRNA-124,GSM8181587,5572,3795,1777,68.11,18,0,905,0,1766,0
EEM-scRNA-125,GSM8181588,6114,4834,1280,79.06,4,0,411,0,1151,693
EEM-scRNA-126,GSM8181589,6046,4868,1178,80.52,7,0,249,0,1134,453
EEM-scRNA-127,GSM8181590,6374,5257,1117,82.48,12,0,200,0,1083,268
EEM-scRNA-158,GSM8181591,7693,6156,1537,80.02,15,0,365,0,1504,334
EEM-scRNA-162,GSM8181592,7129,5909,1220,82.89,9,0,34,0,1132,254
EEM-scRNA-166,GSM8181593,7227,5917,1310,81.87,7,0,112,0,928,728
EEM-scRNA-167,GSM8181594,7078,5827,1251,82.33,5,0,132,0,1062,502
EEM-scRNA-170,GSM8181595,5770,4743,1027,82.2,3,0,214,0,842,415
EEM-scRNA-172,GSM8181596,6429,4941,1488,76.85,12,0,88,0,1330,601
EEM-scRNA-179,GSM8181597,7674,5947,1727,77.5,12,0,295,0,1614,817
EEM-scRNA-180,GSM8181598,7501,5635,1866,75.12,6,0,704,0,1766,1198
EEM-scRNA-181,GSM8181599,8322,6854,1468,82.36,8,0,96,0,1229,627
EEM-scRNA-182,GSM8181600,7162,5775,1387,80.63,3,0,197,0,1164,659
EEM-scRNA-236,GSM8181601,5526,4184,1342,75.71,12,0,439,0,1303,573
EEM-scRNA-237,GSM8181602,7531,6231,1300,82.74,9,0,238,0,1081,644
EEM-scRNA-238,GSM8181603,7254,5704,1550,78.63,11,0,439,0,1522,564
EEM-scRNA-239,GSM8181604,8925,7384,1541,82.73,7,0,355,0,1365,718
EEM-scRNA-249,GSM8181605,7405,5809,1596,78.45,16,0,248,0,1464,608
EEM-scRNA-250,GSM8181606,10737,8563,2174,79.75,21,0,295,0,1986,759
EEM-scRNA-251,GSM8181607,7765,6034,1731,77.71,31,0,234,0,1650,520
EEM-scRNA-288,GSM8181608,3760,3008,752,80.0,5,0,148,0,606,291
EEM-scRNA-289,GSM8181609,5219,4320,899,82.77,6,0,76,0,582,691
EEM-scRNA-290,GSM8181610,4399,3545,854,80.59,5,0,119,0,764,307
EEM-scRNA-291,GSM8181611,5268,4278,990,81.21,7,0,104,0,901,337
EEM-scRNA-292,GSM8181612,3908,3176,732,81.27,7,0,80,0,672,243
EEM-scRNA-310,GSM8181613,6479,5188,1291,80.07,12,0,243,0,1186,592
EEM-scRNA-311,GSM8181614,5955,4566,1389,76.68,14,0,313,0,1237,674
EEM-scRNA-312,GSM8181615,4348,3392,956,78.01,9,0,153,0,861,423
TOTAL,,212701,169807,42894,79.83,363,0,7982,0,38648,17050
