path,filename,parent,ext,size_bytes,size_human,file_type,inferred_role,dataset,sample,dimensions,contains_raw_counts,contains_metadata,appears_processed,species_evidence,notes,extra_json
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\Compressed\GSE178360_endo.sub_SAE10x3.integrated_temp_v2.RDS.gz,GSE178360_endo.sub_SAE10x3.integrated_temp_v2.RDS.gz,GSE178360\Compressed,.RDS.gz,406538944,387.7 MB,gzip-compressed RDS,compressed copy of a pre-processed Seurat object,GSE178360,,,unknown,no,yes,,duplicate of the extracted .RDS in the parent folder,{}
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\Compressed\GSE178360_epi.sub_SAE10x3.integrated_v2.RDS.gz,GSE178360_epi.sub_SAE10x3.integrated_v2.RDS.gz,GSE178360\Compressed,.RDS.gz,1078010572,1.0 GB,gzip-compressed RDS,compressed copy of a pre-processed Seurat object,GSE178360,,,unknown,no,yes,,duplicate of the extracted .RDS in the parent folder,{}
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\Compressed\GSE178360_immune_platelet.sub_SAE10x3.integrated_temp.RDS.gz,GSE178360_immune_platelet.sub_SAE10x3.integrated_temp.RDS.gz,GSE178360\Compressed,.RDS.gz,1114035561,1.0 GB,gzip-compressed RDS,compressed copy of a pre-processed Seurat object,GSE178360,,,unknown,no,yes,,duplicate of the extracted .RDS in the parent folder,{}
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\Compressed\GSE178360_mes.sub_SAE10x3.integrated_v2.RDS.gz,GSE178360_mes.sub_SAE10x3.integrated_v2.RDS.gz,GSE178360\Compressed,.RDS.gz,260516864,248.4 MB,gzip-compressed RDS,compressed copy of a pre-processed Seurat object,GSE178360,,,unknown,no,yes,,duplicate of the extracted .RDS in the parent folder,{}
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\Compressed\GSE178360_RAW.tar,GSE178360_RAW.tar,GSE178360\Compressed,.tar,354467840,338.0 MB,tar archive,GEO supplementary archive (already extracted),GSE178360,,6 members,see extracted members,no,unknown,,,"{""n_members"": 6, ""members"": [""GSM5388411_DD046Q_filtered_feature_bc_matrix.h5"", ""GSM5388411_DD046Q_raw_feature_bc_matrix.h5"", ""GSM5388412_DD047Q_filtered_feature_bc_matrix.h5"", ""GSM5388412_DD047Q_raw_feature_bc_matrix.h5"", ""GSM5388413_DD073R_raw_feature_bc_matrix.h5"", ""GSM5388413_DD073Rfiltered_feature_bc_matrix.h5""]}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_endo.sub_SAE10x3.integrated_temp_v2.RDS\GSE178360_endo.sub_SAE10x3.integrated_temp_v2.RDS,GSE178360_endo.sub_SAE10x3.integrated_temp_v2.RDS,GSE178360\GSE178360_endo.sub_SAE10x3.integrated_temp_v2.RDS,.RDS,662559593,631.9 MB,RDS (uncompressed XDR R serialization),pre-processed Seurat object (author-supplied),GSE178360,,,unknown without R,likely (Seurat meta.data),yes,,requires R/Seurat to read; R is not installed in this environment,"{""magic_bytes"": ""580a000000030003""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_epi.sub_SAE10x3.integrated_v2.RDS,GSE178360_epi.sub_SAE10x3.integrated_v2.RDS,GSE178360,.RDS,1079895895,1.0 GB,RDS (gzip-compressed R serialization),pre-processed Seurat object (author-supplied),GSE178360,,,unknown without R,likely (Seurat meta.data),yes,,requires R/Seurat to read; R is not installed in this environment,"{""magic_bytes"": ""1f8b080000000000""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_immune_platelet.sub_SAE10x3.integrated_temp.RDS,GSE178360_immune_platelet.sub_SAE10x3.integrated_temp.RDS,GSE178360,.RDS,1115874314,1.0 GB,RDS (gzip-compressed R serialization),pre-processed Seurat object (author-supplied),GSE178360,,,unknown without R,likely (Seurat meta.data),yes,,requires R/Seurat to read; R is not installed in this environment,"{""magic_bytes"": ""1f8b080000000000""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_mes.sub_SAE10x3.integrated_v2.RDS,GSE178360_mes.sub_SAE10x3.integrated_v2.RDS,GSE178360,.RDS,260980825,248.9 MB,RDS (gzip-compressed R serialization),pre-processed Seurat object (author-supplied),GSE178360,,,unknown without R,likely (Seurat meta.data),yes,,requires R/Seurat to read; R is not installed in this environment,"{""magic_bytes"": ""1f8b080000000000""}"
C:\Users\dream\Documents\GitHub\scRNA_seq\raw_data\GSE178360\GSE178360_RAW\GSM5388411_DD046Q_filtered_feature_bc_matrix.h5,GSM5388411_DD046Q_filtered_feature_bc_matrix.h5,GSE178360\GSE178360_RAW,.h5,32359860,30.9 MB,10x CellRanger HDF5 (v3 layout),10x FILTERED (cell-called) count matrix,GSE178360,DD046Q,33538 genes x 12185 barcodes,yes (integer values),no,no (looks like raw counts),"HUMAN (12/12 upper-case markers, 13 'MT-' genes)",,"{""hdf5_top_level_keys"": [""matrix""], ""n_genes"": 33538, ""n_barcodes"": 12185, ""data_dtype"": ""int32"", ""min_value"": 1.0, ""max_value_in_probe"": 21025.0, ""genome"": [""GRCh38""], ""feature_types"": {""Gene Expression"": 33538}, ""mouse_probe_hits"": [], ""human_probe_hits"": [""SFTPC"", ""KRT8"", ""TP63"", ""AGER"", ""SCGB1A1"", ""FOXJ1"", ""CD3D"", ""LYZ"", ""COL1A1"", ""PECAM1"", ""ACTB"", ""EPCAM""], ""n_mt_mouse_style"": 0, ""n_mt_human_style"": 13, ""n_duplicate_gene_symbols"": 24, ""gsm"": ""GSM5388411""}"
