assembly	gene	gene_group	chrom	strand	tss	gsm	state	replicate	mark	window	start	end	mean_CPM	covered_fraction	H3_mean_CPM	H3_covered_fraction	ratio_eligible	log2_mark_over_H3
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	promoter	22430327	22432327	0.07210798813030124	1.0	0.06315983878448606	1.0	True	0.19115160150032617
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	22426327	22436327	0.04951979666948318	1.0	0.0641912063665688	1.0	True	-0.374370283496855
T2T-CHM13v2.0	ABCA3	AT2	chr16	-	2363112	GSM8796438	iAT1	CUT1	H3K27ac	promoter	2362112	2364112	0.5995520299039782	1.0	0.20505464043095709	1.0	True	1.547876565485973
T2T-CHM13v2.0	ABCA3	AT2	chr16	-	2363112	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	2358112	2368112	0.13828055194988847	1.0	0.05541397164836526	1.0	True	1.3192765901013246
T2T-CHM13v2.0	NKX2-1	AT2	chr14	-	30709515	GSM8796438	iAT1	CUT1	H3K27ac	promoter	30708515	30710515	2.0194775055348875	1.0	0.0575600672326982	1.0	True	5.1327699888680005
T2T-CHM13v2.0	NKX2-1	AT2	chr14	-	30709515	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	30704515	30714515	1.1147119886763395	1.0	0.03380677951872349	1.0	True	5.04321460520206
T2T-CHM13v2.0	ETV5	AT2	chr3	-	188924867	GSM8796438	iAT1	CUT1	H3K27ac	promoter	188923867	188925867	0.5934567986987531	1.0	0.16257478220015764	1.0	True	1.8680395201974187
T2T-CHM13v2.0	ETV5	AT2	chr3	-	188924867	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	188919867	188929867	0.21434961078763007	1.0	0.05148114157095551	1.0	True	2.0578498474023164
T2T-CHM13v2.0	SFTPB	AT2	chr2	-	85670796	GSM8796438	iAT1	CUT1	H3K27ac	promoter	85669796	85671796	1.3880544748902321	1.0	0.07313514653593302	1.0	True	4.246355489731218
T2T-CHM13v2.0	SFTPB	AT2	chr2	-	85670796	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	85665796	85675796	0.43361604647785423	1.0	0.04907451951652765	1.0	True	3.143372098729194
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	promoter	32036443	32038443	0.6181353539228439	1.0	0.04427697453647852	1.0	True	3.803294230913241
T2T-CHM13v2.0	AGER	AT1	chr6	-	32037443	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	32032443	32042443	0.40152316267490384	1.0	0.023216766230016946	1.0	True	4.112244270801423
T2T-CHM13v2.0	PDPN	AT1	chr1	+	13025716	GSM8796438	iAT1	CUT1	H3K27ac	promoter	13024716	13026716	0.7584967537224293	1.0	0.03148876237869263	1.0	True	4.590234045308754
T2T-CHM13v2.0	PDPN	AT1	chr1	+	13025716	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	13020716	13030716	0.28793669404536487	1.0	0.01758056689053774	1.0	True	4.033698158163473
T2T-CHM13v2.0	HOPX	AT1	chr4	-	60169528	GSM8796438	iAT1	CUT1	H3K27ac	promoter	60168528	60170528	1.402689549639821	1.0	0.06120643652975559	1.0	True	4.518368553342633
T2T-CHM13v2.0	HOPX	AT1	chr4	-	60169528	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	60164528	60174528	0.565500716689974	1.0	0.03398910894989968	1.0	True	4.05638440647208
T2T-CHM13v2.0	CAV1	AT1	chr7	+	117840040	GSM8796438	iAT1	CUT1	H3K27ac	promoter	117839040	117841040	2.4675273400358857	1.0	0.09506533863022923	1.0	True	4.698002837469504
T2T-CHM13v2.0	CAV1	AT1	chr7	+	117840040	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	117835040	117845040	0.9391897142678499	1.0	0.04323518507182598	1.0	True	4.4411388385553625
T2T-CHM13v2.0	AQP5	AT1	chr12	+	49924862	GSM8796438	iAT1	CUT1	H3K27ac	promoter	49923862	49925862	0.05857013063505292	1.0	0.05110086029022932	1.0	True	0.19681753290085205
T2T-CHM13v2.0	AQP5	AT1	chr12	+	49924862	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	49919862	49929862	0.05652376339361072	1.0	0.056070299268513916	1.0	True	0.011620754526400141
T2T-CHM13v2.0	KRT8	transition_stress	chr12	-	52914418	GSM8796438	iAT1	CUT1	H3K27ac	promoter	52913418	52915418	1.2950288094505669	1.0	0.029014445781707764	1.0	True	5.480069010932417
T2T-CHM13v2.0	KRT8	transition_stress	chr12	-	52914418	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	52909418	52919418	1.2553333596237004	1.0	0.024352341331541537	1.0	True	5.687866233769862
T2T-CHM13v2.0	CLDN4	transition_stress	chr7	+	75031890	GSM8796438	iAT1	CUT1	H3K27ac	promoter	75030890	75032890	2.232964629381895	1.0	0.022789617348462344	1.0	True	6.6144398874512245
T2T-CHM13v2.0	CLDN4	transition_stress	chr7	+	75031890	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	75026890	75036890	1.7210798158980907	1.0	0.050137187987565994	1.0	True	5.101289111449772
T2T-CHM13v2.0	KRT19	transition_stress	chr17	-	42383868	GSM8796438	iAT1	CUT1	H3K27ac	promoter	42382868	42384868	1.718681825518608	1.0	0.0393544160425663	1.0	True	5.44863314475574
T2T-CHM13v2.0	KRT19	transition_stress	chr17	-	42383868	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	42378868	42388868	0.8364929064378143	1.0	0.025654603224247695	1.0	True	5.027063688085328
T2T-CHM13v2.0	CDKN1A	transition_stress	chr6	+	36497107	GSM8796438	iAT1	CUT1	H3K27ac	promoter	36496107	36498107	0.30093551709875466	1.0	0.010600429583340884	1.0	True	4.827259750462643
T2T-CHM13v2.0	CDKN1A	transition_stress	chr6	+	36497107	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	36492107	36502107	0.3815924228914082	1.0	0.02838936325162649	1.0	True	3.748610128522502
T2T-CHM13v2.0	SFN	transition_stress	chr1	+	26701223	GSM8796438	iAT1	CUT1	H3K27ac	promoter	26700223	26702223	0.29736303302273154	1.0	0.05800283230468631	1.0	True	2.3580300539596375
T2T-CHM13v2.0	SFN	transition_stress	chr1	+	26701223	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	26696223	26706223	0.3257895345978439	1.0	0.050658100079745055	1.0	True	2.68507538539152
T2T-CHM13v2.0	ITGB6	transition_stress	chr2	-	160657753	GSM8796438	iAT1	CUT1	H3K27ac	promoter	160656753	160658753	0.3859388295039535	1.0	0.010991106569766998	1.0	True	5.133963654170399
T2T-CHM13v2.0	ITGB6	transition_stress	chr2	-	160657753	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	160652753	160662753	0.18920112010091544	1.0	0.008579318321496249	1.0	True	4.462913797992896
T2T-CHM13v2.0	KRT17	transition_stress	chr17	-	42480027	GSM8796438	iAT1	CUT1	H3K27ac	promoter	42479027	42481027	0.09678639844059944	1.0	0.044329089909791945	1.0	True	1.1265505735010723
T2T-CHM13v2.0	KRT17	transition_stress	chr17	-	42480027	GSM8796438	iAT1	CUT1	H3K27ac	broad_promoter	42475027	42485027	0.029150305930525065	1.0	0.044688499718159434	1.0	True	-0.6163925869093657
T2T-CHM13v2.0	TP63	transition_stress	chr3	+	192413469	GSM8796438	iAT1	CUT1	H3K27ac	promoter	192412469	192414469	0.010184748843312264	1.0	0.0455792642198503	1.0	True	-2.1619672317802054
