class_key	mouse	human
52125174	A1cf	A1CF
52140948	A4galt	A4GALT
52139291	Aaas	AAAS
52138768	Aacs	AACS
52139622	Aadac	AADAC
52136676	Aagab	AAGAB
52125129	Aak1	AAK1
52125868	Aamdc	AAMDC
52139297	Aamp	AAMP
52131896	Aar2	AAR2
52131655	Aars2	AARS2
52135822	Aasdh	AASDH
52137977	Aasdhppt	AASDHPPT
52126136	Aatf	AATF
52126621	Abat	ABAT
52125134	Abca1	ABCA1
52140951	Abca13	ABCA13
52135493	Abca2	ABCA2
52125137	Abca3	ABCA3
52138473	Abca5	ABCA5
52138591	Abca7	ABCA7
52135106	Abcb10	ABCB10
52125139	Abcb4	ABCB4
52125144	Abcb6	ABCB6
52129328	Abcb7	ABCB7
52137913	Abcb8	ABCB8
52135340	Abcb9	ABCB9
52132535	Abcc1	ABCC1
52134732	Abcc10	ABCC10
52132538	Abcc12	ABCC12
52132536	Abcc2	ABCC2
52134150	Abcc3	ABCC3
52126086	Abcc4	ABCC4
52130187	Abcc5	ABCC5
52125145	Abcc6	ABCC6
52134901	Abcc8	ABCC8
52138572	Abcd1	ABCD1
52128956	Abcd3	ABCD3
52138212	Abcd4	ABCD4
52136820	Abce1	ABCE1
52136943	Abcf1	ABCF1
52131394	Abcf3	ABCF3
52138409	Abcg1	ABCG1
52136107	Abcg5	ABCG5
52136108	Abcg8	ABCG8
52125149	Abhd10	ABHD10
52136600	Abhd11	ABHD11
52138191	Abhd12	ABHD12
52138016	Abhd13	ABHD13
52139302	Abhd14a	ABHD14A
52138963	Abhd14b	ABHD14B
52135374	Abhd15	ABHD15
52125692	Abhd16a	ABHD16A
52125150	Abhd17a	ABHD17A
52128545	Abhd17b	ABHD17B
52128546	Abhd17c	ABHD17C
52125151	Abhd2	ABHD2
52139551	Abhd3	ABHD3
52137720	Abhd4	ABHD4
52140958	Abhd5	ABHD5
52138455	Abhd6	ABHD6
52125153	Abhd8	ABHD8
52125154	Abi1	ABI1
52138043	Abi2	ABI2
52133910	Abi3	ABI3
52125155	Abi3bp	ABI3BP
52140502	Abl1	ABL1
52126267	Abl2	ABL2
52135904	Ablim1	ABLIM1
52140456	Ablim2	ABLIM2
52131429	Abr	ABR
52125930	Abracl	ABRACL
52131622	Abt1	ABT1
52134870	Abtb1	ABTB1
52140470	Abtb2	ABTB2
52128949	Acaa2	ACAA2
52125167	Acaca	ACACA
52134535	Acacb	ACACB
52138733	Acad11	ACAD11
52138741	Acad8	ACAD8
52131662	Acad9	ACAD9
52132202	Acadl	ACADL
52128921	Acadm	ACADM
52129460	Acads	ACADS
52138462	Acadsb	ACADSB
52128912	Acadvl	ACADVL
