assembly	gene	gene_group	annotation_records	chrom	gene_start	gene_end	strand	tss	status
T2T-CHM13v2.0	SFTPC	AT2	1	chr8	22431327	22438424	+	22431327	eligible
T2T-CHM13v2.0	ABCA3	AT2	1	chr16	2298326	2363113	-	2363112	eligible
T2T-CHM13v2.0	NKX2-1	AT2	1	chr14	30705670	30709516	-	30709515	eligible
T2T-CHM13v2.0	ETV5	AT2	1	chr3	188862122	188924868	-	188924867	eligible
T2T-CHM13v2.0	SFTPB	AT2	1	chr2	85659364	85670797	-	85670796	eligible
T2T-CHM13v2.0	AGER	AT1	1	chr6	32034159	32037444	-	32037443	eligible
T2T-CHM13v2.0	PDPN	AT1	1	chr1	13025716	13059901	+	13025716	eligible
T2T-CHM13v2.0	HOPX	AT1	1	chr4	60135863	60169529	-	60169528	eligible
T2T-CHM13v2.0	CAV1	AT1	1	chr7	117840040	117876175	+	117840040	eligible
T2T-CHM13v2.0	AQP5	AT1	1	chr12	49924862	49928671	+	49924862	eligible
T2T-CHM13v2.0	KRT8	transition_stress	1	chr12	52861777	52914419	-	52914418	eligible
T2T-CHM13v2.0	CLDN4	transition_stress	1	chr7	75031890	75033585	+	75031890	eligible
T2T-CHM13v2.0	KRT19	transition_stress	1	chr17	42379160	42383869	-	42383868	eligible
T2T-CHM13v2.0	CDKN1A	transition_stress	1	chr6	36497107	36508013	+	36497107	eligible
T2T-CHM13v2.0	SFN	transition_stress	1	chr1	26701223	26702527	+	26701223	eligible
T2T-CHM13v2.0	ITGB6	transition_stress	1	chr2	160557538	160657754	-	160657753	eligible
T2T-CHM13v2.0	KRT17	transition_stress	1	chr17	42474894	42480028	-	42480027	eligible
T2T-CHM13v2.0	TP63	transition_stress	1	chr3	192413469	192713713	+	192413469	eligible
T2T-CHM13v2.0	COL1A1	transition_stress	1	chr17	51051161	51068680	-	51068679	eligible
T2T-CHM13v2.0	ATF3	regulators	1	chr1	211810344	211865712	+	211810344	eligible
T2T-CHM13v2.0	HNF1B	regulators	1	chr17	38673400	38732032	-	38732031	eligible
T2T-CHM13v2.0	TP53	regulators	1	chr17	7572543	7591594	-	7591593	eligible
T2T-CHM13v2.0	CEBPA	regulators	1	chr19	35819705	35822306	-	35822305	eligible
hg19	SFTPC	AT2	14	chr8	22014895	22021991	+	22014895	eligible
hg19	ABCA3	AT2	1	chr16	2325881	2390729	-	2390728	eligible
hg19	NKX2-1	AT2	2	chr14	36985603	36989437	-	36989436	eligible
hg19	ETV5	AT2	1	chr3	185764102	185826878	-	185826877	eligible
hg19	SFTPB	AT2	3	chr2	85884429	85895864	-	85895863	eligible
hg19	AGER	AT1	10	chr6	32148744	32152099	-	32152098	eligible
hg19	PDPN	AT1	5	chr1	13910251	13944452	+	13910251	eligible
hg19	HOPX	AT1	5	chr4	57514153	57547872	-	57547871	eligible
hg19	CAV1	AT1	4	chr7	116165062	116201239	+	116165062	eligible
hg19	AQP5	AT1	1	chr12	50355654	50359465	+	50355654	eligible
hg19	KRT8	transition_stress	4	chr12	53290974	53343644	-	53343643	eligible
hg19	CLDN4	transition_stress	1	chr7	73245325	73247019	+	73245325	eligible
hg19	KRT19	transition_stress	1	chr17	39679868	39684560	-	39684559	eligible
hg19	CDKN1A	transition_stress	12	chr6	36644239	36655109	+	36644239	eligible
hg19	SFN	transition_stress	1	chr1	27189639	27190947	+	27189639	eligible
hg19	ITGB6	transition_stress	7	chr2	160956176	161056824	-	161056823	eligible
hg19	KRT17	transition_stress	1	chr17	39775693	39780827	-	39780826	eligible
hg19	TP63	transition_stress	13	chr3	189314534	189615068	+	189314534	eligible
hg19	COL1A1	transition_stress	1	chr17	48261461	48278992	-	48278991	eligible
hg19	ATF3	regulators	6	chr1	212738675	212794119	+	212738675	eligible
hg19	HNF1B	regulators	3	chr17	36046433	36105050	-	36105049	eligible
hg19	TP53	regulators	15	chr17	7571719	7590868	-	7590867	eligible
hg19	CEBPA	regulators	4	chr19	33790839	33793470	-	33793469	eligible
