gene	gene_group	chrom	strand	tss	baseline_tss	is_baseline	transcript_count	transcript_ids	parent_gene_count	half_width_bp	start	end	state	replicate	mark	gsm	mean_CPM	covered_fraction	H3_mean_CPM	H3_covered_fraction	ratio_eligible	log2_mark_over_H3
SFTPC	AT2	chr8	+	22431327	22431327	True	6	NM_001385654.1;NM_001385655.1;NM_001385656.1;NM_001385657.1;NM_001385658.1;NM_001385660.1	1	1000	22430327	22432327	iAT1	CUT1	H3K27ac	GSM8796438	0.07210798813030124	1.0	0.06315983878448606	1.0	True	0.19115160150032617
SFTPC	AT2	chr8	+	22431327	22431327	True	6	NM_001385654.1;NM_001385655.1;NM_001385656.1;NM_001385657.1;NM_001385658.1;NM_001385660.1	1	5000	22426327	22436327	iAT1	CUT1	H3K27ac	GSM8796438	0.04951979666948318	1.0	0.0641912063665688	1.0	True	-0.374370283496855
SFTPC	AT2	chr8	+	22432423	22431327	False	1	NM_001385659.1	1	1000	22431423	22433423	iAT1	CUT1	H3K27ac	GSM8796438	0.04700652277097106	1.0	0.03391095274686813	1.0	True	0.471109645278717
SFTPC	AT2	chr8	+	22432423	22431327	False	1	NM_001385659.1	1	5000	22427423	22437423	iAT1	CUT1	H3K27ac	GSM8796438	0.053123629316687584	1.0	0.06798861493468285	1.0	True	-0.355939466873467
SFTPC	AT2	chr8	+	22435720	22431327	False	1	XM_011544613.4	1	1000	22434720	22436720	iAT1	CUT1	H3K27ac	GSM8796438	0.02757716301828623	1.0	0.0597739252820611	1.0	True	-1.1160422377057417
SFTPC	AT2	chr8	+	22435720	22431327	False	1	XM_011544613.4	1	5000	22430720	22440720	iAT1	CUT1	H3K27ac	GSM8796438	0.11552630665153266	1.0	0.06336818546801805	1.0	True	0.8663907970617732
SFTPC	AT2	chr8	+	22435742	22431327	False	7	NM_001172357.2;NM_001172410.2;NM_001317778.2;NM_001317779.2;NM_001317780.2;NM_001385653.1;NM_003018.4	1	1000	22434742	22436742	iAT1	CUT1	H3K27ac	GSM8796438	0.026354991301894188	1.0	0.05990415178239346	1.0	True	-1.1845797795474586
SFTPC	AT2	chr8	+	22435742	22431327	False	7	NM_001172357.2;NM_001172410.2;NM_001317778.2;NM_001317779.2;NM_001317780.2;NM_001385653.1;NM_003018.4	1	5000	22430742	22440742	iAT1	CUT1	H3K27ac	GSM8796438	0.1153727526538074	1.0	0.0632014954507351	1.0	True	0.8682719454409727
ABCA3	AT2	chr16	-	2363112	2363112	True	1	NM_001089.3	1	1000	2362112	2364112	iAT1	CUT1	H3K27ac	GSM8796438	0.5995520299039782	1.0	0.20505464043095709	1.0	True	1.547876565485973
ABCA3	AT2	chr16	-	2363112	2363112	True	1	NM_001089.3	1	5000	2358112	2368112	iAT1	CUT1	H3K27ac	GSM8796438	0.13828055194988847	1.0	0.05541397164836526	1.0	True	1.3192765901013246
NKX2-1	AT2	chr14	-	30708839	30709515	False	1	NM_003317.4	1	1000	30707839	30709839	iAT1	CUT1	H3K27ac	GSM8796438	1.6718800894841552	1.0	0.04175057911500335	1.0	True	5.323531358892036
NKX2-1	AT2	chr14	-	30708839	30709515	False	1	NM_003317.4	1	5000	30703839	30713839	iAT1	CUT1	H3K27ac	GSM8796438	1.1206504917629063	1.0	0.029228015953302384	1.0	True	5.260840690734671
NKX2-1	AT2	chr14	-	30709515	30709515	True	1	NM_001079668.3	1	1000	30708515	30710515	iAT1	CUT1	H3K27ac	GSM8796438	2.0194775055348875	1.0	0.0575600672326982	1.0	True	5.1327699888680005
NKX2-1	AT2	chr14	-	30709515	30709515	True	1	NM_001079668.3	1	5000	30704515	30714515	iAT1	CUT1	H3K27ac	GSM8796438	1.1147119886763395	1.0	0.03380677951872349	1.0	True	5.04321460520206
ETV5	AT2	chr3	-	188924867	188924867	True	1	NM_004454.3	1	1000	188923867	188925867	iAT1	CUT1	H3K27ac	GSM8796438	0.5934567986987531	1.0	0.16257478220015764	1.0	True	1.8680395201974187
ETV5	AT2	chr3	-	188924867	188924867	True	1	NM_004454.3	1	5000	188919867	188929867	iAT1	CUT1	H3K27ac	GSM8796438	0.21434961078763007	1.0	0.05148114157095551	1.0	True	2.0578498474023164
SFTPB	AT2	chr2	-	85670254	85670796	False	5	NM_000542.5;NM_001367281.1;XM_005264488.5;XM_005264490.5;XM_047445415.1	1	1000	85669254	85671254	iAT1	CUT1	H3K27ac	GSM8796438	1.399116608761251	1.0	0.08334491588175297	1.0	True	4.069278201933392
SFTPB	AT2	chr2	-	85670254	85670796	False	5	NM_000542.5;NM_001367281.1;XM_005264488.5;XM_005264490.5;XM_047445415.1	1	5000	85665254	85675254	iAT1	CUT1	H3K27ac	GSM8796438	0.4558125057965517	1.0	0.05111646889671683	1.0	True	3.1565804232237626
SFTPB	AT2	chr2	-	85670796	85670796	True	2	NM_198843.3;XM_047445414.1	1	1000	85669796	85671796	iAT1	CUT1	H3K27ac	GSM8796438	1.3880544748902321	1.0	0.07313514653593302	1.0	True	4.246355489731218
SFTPB	AT2	chr2	-	85670796	85670796	True	2	NM_198843.3;XM_047445414.1	1	5000	85665796	85675796	iAT1	CUT1	H3K27ac	GSM8796438	0.43361604647785423	1.0	0.04907451951652765	1.0	True	3.143372098729194
AGER	AT1	chr6	-	32037443	32037443	True	13	NM_001136.5;NM_001206929.2;NM_001206932.2;NM_001206934.2;NM_001206936.2;NM_001206940.2;NM_001206954.2;NM_001206966.2;NM_172197.3;NR_038190.2;XM_017010328.3;XM_047418260.1;XM_047418261.1	1	1000	32036443	32038443	iAT1	CUT1	H3K27ac	GSM8796438	0.6181353539228439	1.0	0.04427697453647852	1.0	True	3.803294230913241
AGER	AT1	chr6	-	32037443	32037443	True	13	NM_001136.5;NM_001206929.2;NM_001206932.2;NM_001206934.2;NM_001206936.2;NM_001206940.2;NM_001206954.2;NM_001206966.2;NM_172197.3;NR_038190.2;XM_017010328.3;XM_047418260.1;XM_047418261.1	1	5000	32032443	32042443	iAT1	CUT1	H3K27ac	GSM8796438	0.40152316267490384	1.0	0.023216766230016946	1.0	True	4.112244270801423
PDPN	AT1	chr1	+	13025716	13025716	True	1	NM_198389.2	1	1000	13024716	13026716	iAT1	CUT1	H3K27ac	GSM8796438	0.7584967537224293	1.0	0.03148876237869263	1.0	True	4.590234045308754
PDPN	AT1	chr1	+	13025716	13025716	True	1	NM_198389.2	1	5000	13020716	13030716	iAT1	CUT1	H3K27ac	GSM8796438	0.28793669404536487	1.0	0.01758056689053774	1.0	True	4.033698158163473
PDPN	AT1	chr1	+	13025791	13025716	False	1	NM_006474.5	1	1000	13024791	13026791	iAT1	CUT1	H3K27ac	GSM8796438	0.7499415846467018	1.0	0.029353046223521233	1.0	True	4.675196086486675
PDPN	AT1	chr1	+	13025791	13025716	False	1	NM_006474.5	1	5000	13020791	13030791	iAT1	CUT1	H3K27ac	GSM8796438	0.2886919325970113	1.0	0.01758056689053774	1.0	True	4.037477296020467
