gene	gene_group	day	domain	chrom	start	end	coordinate_assumption	domain_overlap_fraction	source_path
SFTPC	AT2	D0	PMD	chr8	22013895	22015895	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
SFTPC	AT2	D0	PMD	chr8	22013895	22015895	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ABCA3	AT2	D0	PMD	chr16	2389728	2391728	one_based_inclusive	0.0055	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ABCA3	AT2	D0	PMD	chr16	2389728	2391728	zero_based_half_open_sensitivity	0.0055	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
NKX2-1	AT2	D0	PMD	chr14	36988436	36990436	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
NKX2-1	AT2	D0	PMD	chr14	36988436	36990436	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ETV5	AT2	D0	PMD	chr3	185825877	185827877	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ETV5	AT2	D0	PMD	chr3	185825877	185827877	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
SFTPB	AT2	D0	PMD	chr2	85894863	85896863	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
SFTPB	AT2	D0	PMD	chr2	85894863	85896863	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
AGER	AT1	D0	PMD	chr6	32151098	32153098	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
AGER	AT1	D0	PMD	chr6	32151098	32153098	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
PDPN	AT1	D0	PMD	chr1	13909251	13911251	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
PDPN	AT1	D0	PMD	chr1	13909251	13911251	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
HOPX	AT1	D0	PMD	chr4	57546871	57548871	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
HOPX	AT1	D0	PMD	chr4	57546871	57548871	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CAV1	AT1	D0	PMD	chr7	116164062	116166062	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CAV1	AT1	D0	PMD	chr7	116164062	116166062	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
AQP5	AT1	D0	PMD	chr12	50354654	50356654	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
AQP5	AT1	D0	PMD	chr12	50354654	50356654	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
KRT8	transition_stress	D0	PMD	chr12	53342643	53344643	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
KRT8	transition_stress	D0	PMD	chr12	53342643	53344643	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CLDN4	transition_stress	D0	PMD	chr7	73244325	73246325	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CLDN4	transition_stress	D0	PMD	chr7	73244325	73246325	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
KRT19	transition_stress	D0	PMD	chr17	39683559	39685559	one_based_inclusive	0.244	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
KRT19	transition_stress	D0	PMD	chr17	39683559	39685559	zero_based_half_open_sensitivity	0.2435	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CDKN1A	transition_stress	D0	PMD	chr6	36643239	36645239	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CDKN1A	transition_stress	D0	PMD	chr6	36643239	36645239	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
SFN	transition_stress	D0	PMD	chr1	27188639	27190639	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
SFN	transition_stress	D0	PMD	chr1	27188639	27190639	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ITGB6	transition_stress	D0	PMD	chr2	161055823	161057823	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ITGB6	transition_stress	D0	PMD	chr2	161055823	161057823	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
KRT17	transition_stress	D0	PMD	chr17	39779826	39781826	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
KRT17	transition_stress	D0	PMD	chr17	39779826	39781826	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
TP63	transition_stress	D0	PMD	chr3	189313534	189315534	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
TP63	transition_stress	D0	PMD	chr3	189313534	189315534	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
COL1A1	transition_stress	D0	PMD	chr17	48277991	48279991	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
COL1A1	transition_stress	D0	PMD	chr17	48277991	48279991	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ATF3	regulators	D0	PMD	chr1	212737675	212739675	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
ATF3	regulators	D0	PMD	chr1	212737675	212739675	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
HNF1B	regulators	D0	PMD	chr17	36104049	36106049	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
HNF1B	regulators	D0	PMD	chr17	36104049	36106049	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
TP53	regulators	D0	PMD	chr17	7589867	7591867	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
TP53	regulators	D0	PMD	chr17	7589867	7591867	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CEBPA	regulators	D0	PMD	chr19	33792469	33794469	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
CEBPA	regulators	D0	PMD	chr19	33792469	33794469	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_PMDs_D0dna.tab.gz
SFTPC	AT2	D4	PMD	chr8	22013895	22015895	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
SFTPC	AT2	D4	PMD	chr8	22013895	22015895	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ABCA3	AT2	D4	PMD	chr16	2389728	2391728	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ABCA3	AT2	D4	PMD	chr16	2389728	2391728	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
NKX2-1	AT2	D4	PMD	chr14	36988436	36990436	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
NKX2-1	AT2	D4	PMD	chr14	36988436	36990436	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ETV5	AT2	D4	PMD	chr3	185825877	185827877	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ETV5	AT2	D4	PMD	chr3	185825877	185827877	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
SFTPB	AT2	D4	PMD	chr2	85894863	85896863	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
SFTPB	AT2	D4	PMD	chr2	85894863	85896863	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
AGER	AT1	D4	PMD	chr6	32151098	32153098	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
AGER	AT1	D4	PMD	chr6	32151098	32153098	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
PDPN	AT1	D4	PMD	chr1	13909251	13911251	one_based_inclusive	0.2915	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
PDPN	AT1	D4	PMD	chr1	13909251	13911251	zero_based_half_open_sensitivity	0.2915	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
HOPX	AT1	D4	PMD	chr4	57546871	57548871	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
HOPX	AT1	D4	PMD	chr4	57546871	57548871	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CAV1	AT1	D4	PMD	chr7	116164062	116166062	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CAV1	AT1	D4	PMD	chr7	116164062	116166062	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
AQP5	AT1	D4	PMD	chr12	50354654	50356654	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
AQP5	AT1	D4	PMD	chr12	50354654	50356654	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
KRT8	transition_stress	D4	PMD	chr12	53342643	53344643	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
KRT8	transition_stress	D4	PMD	chr12	53342643	53344643	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CLDN4	transition_stress	D4	PMD	chr7	73244325	73246325	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CLDN4	transition_stress	D4	PMD	chr7	73244325	73246325	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
KRT19	transition_stress	D4	PMD	chr17	39683559	39685559	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
KRT19	transition_stress	D4	PMD	chr17	39683559	39685559	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CDKN1A	transition_stress	D4	PMD	chr6	36643239	36645239	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CDKN1A	transition_stress	D4	PMD	chr6	36643239	36645239	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
SFN	transition_stress	D4	PMD	chr1	27188639	27190639	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
SFN	transition_stress	D4	PMD	chr1	27188639	27190639	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ITGB6	transition_stress	D4	PMD	chr2	161055823	161057823	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ITGB6	transition_stress	D4	PMD	chr2	161055823	161057823	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
KRT17	transition_stress	D4	PMD	chr17	39779826	39781826	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
KRT17	transition_stress	D4	PMD	chr17	39779826	39781826	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
TP63	transition_stress	D4	PMD	chr3	189313534	189315534	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
TP63	transition_stress	D4	PMD	chr3	189313534	189315534	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
COL1A1	transition_stress	D4	PMD	chr17	48277991	48279991	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
COL1A1	transition_stress	D4	PMD	chr17	48277991	48279991	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ATF3	regulators	D4	PMD	chr1	212737675	212739675	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
ATF3	regulators	D4	PMD	chr1	212737675	212739675	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
HNF1B	regulators	D4	PMD	chr17	36104049	36106049	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
HNF1B	regulators	D4	PMD	chr17	36104049	36106049	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
TP53	regulators	D4	PMD	chr17	7589867	7591867	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
TP53	regulators	D4	PMD	chr17	7589867	7591867	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CEBPA	regulators	D4	PMD	chr19	33792469	33794469	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
CEBPA	regulators	D4	PMD	chr19	33792469	33794469	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551719_PMDs_D4dna.tab.gz
SFTPC	AT2	D0	LMR	chr8	22013895	22015895	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFTPC	AT2	D0	LMR	chr8	22013895	22015895	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFTPC	AT2	D0	UMR	chr8	22013895	22015895	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
SFTPC	AT2	D0	UMR	chr8	22013895	22015895	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ABCA3	AT2	D0	LMR	chr16	2389728	2391728	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ABCA3	AT2	D0	LMR	chr16	2389728	2391728	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ABCA3	AT2	D0	UMR	chr16	2389728	2391728	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
ABCA3	AT2	D0	UMR	chr16	2389728	2391728	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
NKX2-1	AT2	D0	LMR	chr14	36988436	36990436	one_based_inclusive	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
NKX2-1	AT2	D0	LMR	chr14	36988436	36990436	zero_based_half_open_sensitivity	0.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
NKX2-1	AT2	D0	UMR	chr14	36988436	36990436	one_based_inclusive	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
NKX2-1	AT2	D0	UMR	chr14	36988436	36990436	zero_based_half_open_sensitivity	1.0	cache/direct_marks/GSE150527/GSM4551718_UMRsLMRs.D0.tab.gz
