assembly	gene	gene_group	chrom	strand	tss	gsm	state	replicate	mark	offset_bp	start	end	mean_CPM	covered_fraction
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4950.0	22426327	22426427	0.0006267540156841278	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4850.0	22426427	22426527	0.022876521572470665	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4750.0	22426527	22426627	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4650.0	22426627	22426727	0.0006267540156841278	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4550.0	22426727	22426827	0.0391720999032259	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4450.0	22426827	22426927	0.015668850392103195	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4350.0	22426927	22427027	0.022876521572470665	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4250.0	22427027	22427127	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4150.0	22427127	22427227	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-4050.0	22427227	22427327	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3950.0	22427327	22427427	0.016295604407787323	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3850.0	22427427	22427527	0.00720767118036747	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3750.0	22427527	22427627	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3650.0	22427627	22427727	0.0	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3550.0	22427727	22427827	0.03979882784187794	1.0
T2T-CHM13v2.0	SFTPC	AT2	chr8	+	22431327	GSM8796438	iAT1	CUT1	H3K27ac	-3450.0	22427827	22427927	0.04105236582458019	1.0
